Order,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
80,SR-YZB,SRYZB0080,2007,SRYZB01,WS0746,25.31 ,30.52 ,21.80 ,3315.1,2005.1,594.9,516.7,1713.13,Paddy soils,sandy loam,21.8,22.4,33,5.4,210,72,105,7718
81,SR-YZB,SRYZB0081,2008,SRYZB01,WS0746,25.34 ,30.50 ,21.72 ,2939.7,1779.7,962,507.4,1620.81,Paddy soils,sandy loam,21.4,20.9,58,5.4,210,72,105,8381
82,SR-YZB,SRYZB0082,2008,SRYZB01,WS0745,25.52 ,29.78 ,22.44 ,2832.8,1722.8,642,507,1577.41,Paddy soils,silty clay loam,24.7,15.6,54,5.3,210,75,113,8835
83,SR-YZB,SRYZB0083,2008,SRYZB01,WS0745,25.55 ,29.81 ,22.49 ,2836.6,1726.6,642,498.9,1562.24,Paddy soils,clay,17.1,20.9,73,5.3,210,75,120,8633
84,SR-YZB,SRYZB0084,2008,SRYZB01,WS0745,25.64 ,29.86 ,22.59 ,2614.8,1594.8,642,466.3,1461.3,Paddy soils,clay,24.6,21.1,84,5.3,210,45,113,8385
85,SR-YZB,SRYZB0085,2009,SRYZB01,WS0745,25.66 ,30.35 ,22.14 ,3078.7,1878.7,515.9,714.2,1989.05,Paddy soils,silty clay loam,17.9,25.4,82,5.4,165,90,120,7997
86,SR-YZB,SRYZB0086,2009,SRYZB01,WS0745,25.52 ,30.21 ,22.00 ,3088.1,1878.1,569.9,719.1,2007.59,Paddy soils,silty clay loam,18.2,20.7,43,5.4,180,90,150,7461
87,SR-YZB,SRYZB0087,2008,SRYZB01,WS0745,25.52 ,29.78 ,22.44 ,2832.8,1722.8,642,507,1577.41,Paddy soils,clay,19.5,16.5,86,5.1,210,90,120,9060
88,SR-YZB,SRYZB0088,2009,SRYZB01,WS0745,25.70 ,30.41 ,22.17 ,3058.5,1868.5,515.9,714.2,1983.11,Paddy soils,silty clay loam,18.2,18.7,58,5.4,210,75,120,7960
89,SR-YZB,SRYZB0089,2007,SRYZB01,WS0753,26.58 ,30.69 ,23.44 ,3296.2,2056.2,722.8,699.4,1947.17,Paddy soils,clay loam,14,16.1,84,7.1,204,68,107,7622
90,SR-YZB,SRYZB0090,2008,SRYZB01,WS0752,22.29 ,26.66 ,19.29 ,2764.3,1532.6,501.8,534.4,1471.11,Yellow-cinnamon soils,clay loam,26,7.4,59,5.3,242,45,90,7758
91,SR-YZB,SRYZB0091,2008,SRYZB01,WS0728,26.29 ,30.22 ,23.40 ,2997,1857,791.2,412.5,1435.4,Paddy soils,clay,44,15.4,175,5.4,180,72,180,9713
92,SR-YZB,SRYZB0092,2008,SRYZB01,WS0728,26.42 ,30.30 ,23.61 ,2800.9,1740.9,782.9,387.8,1332.23,Paddy soils,silty clay loam,17.2,9.2,58,5.5,180,72,180,8342
93,SR-YZB,SRYZB0093,2008,SRYZB01,WS0728,26.48 ,30.37 ,23.66 ,2753.9,1713.9,782.9,387.8,1319.31,Paddy soils,silty clay loam,17.5,12.7,66,5.2,180,72,180,8427
94,SR-YZB,SRYZB0094,2008,SRYZB01,WS0728,26.49 ,30.40 ,23.66 ,2755.3,1715.3,782.9,387.8,1321.25,Paddy soils,clay,25.2,7.9,84,5.8,180,72,180,9017
95,SR-YZB,SRYZB0095,2007,SRYZB01,WS0726,26.80 ,30.84 ,23.75 ,2518.8,1578.8,617.7,517.1,1496.13,Paddy soils,clay loam,24.4,21.5,146,4.9,180,72,150,7910
96,SR-YZB,SRYZB0096,2007,SRYZB01,WS0725,26.48 ,30.91 ,23.33 ,3150.6,1960.6,639.3,594.2,1724.09,Paddy soils,clay loam,17.8,16.3,118,5.8,210,72,180,8642
97,SR-YZB,SRYZB0097,2007,SRYZB01,WS0725,26.48 ,30.91 ,23.33 ,3150.6,1960.6,639.3,594.2,1724.09,Paddy soils,silty clay loam,16.5,13.6,115,5.8,210,72,180,8522
98,SR-YZB,SRYZB0098,2007,SRYZB01,WS0725,26.48 ,30.91 ,23.33 ,3150.6,1960.6,639.3,594.2,1724.09,Paddy soils,silty clay loam,30.8,18,116,4.8,210,72,180,8028
99,SR-YZB,SRYZB0099,2007,SRYZB01,WS0725,26.48 ,30.91 ,23.33 ,3150.6,1960.6,639.3,594.2,1724.09,Paddy soils,silty clay loam,12.5,27.5,135,5.3,210,72,180,8628
100,SR-YZB,SRYZB0100,2007,SRYZB01,WS0725,26.48 ,30.91 ,23.33 ,3150.6,1960.6,639.3,594.2,1724.09,Paddy soils,silty clay loam,21.3,10.8,125,6.5,210,72,180,8862
101,SR-YZB,SRYZB0101,2007,SRYZB01,WS0725,26.48 ,30.91 ,23.33 ,3150.6,1960.6,639.3,594.2,1724.09,Paddy soils,silty clay loam,19.2,15.7,133,6.2,210,72,180,8166
102,SR-YZB,SRYZB0102,2007,SRYZB01,WS0725,26.48 ,30.91 ,23.33 ,3150.6,1960.6,639.3,594.2,1724.09,Paddy soils,clay loam,16.1,18.3,147,6.2,210,72,180,8352
