Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,
1396,W-NCP,WNCP1396,2008,WNCP03,WS0179,8.80 ,15.04 ,3.58 ,2318.2,796.2,165.2,1768.1,3363.27,Fluvo-aquic soils,loam,9.2,19,68,7.5,135,120,60,7070,
1397,W-NCP,WNCP1397,2008,WNCP03,WS0179,8.62 ,14.81 ,3.38 ,2189.4,767.4,165.4,1714.3,3285.08,Fluvo-aquic soils,loam,11.8,12.6,87,7.1,165,135,75,7359,
1398,W-NCP,WNCP1398,2008,WNCP03,WS0179,8.87 ,15.08 ,3.61 ,2292,820,165.4,1750.5,3355.96,Fluvo-aquic soils,loam,15.4,20.6,139,7.3,195,180,105,8586,
1399,W-NCP,WNCP1399,2008,WNCP03,WS0179,8.52 ,14.71 ,3.30 ,2164.7,742.7,165.2,1699.9,3244.1,Fluvo-aquic soils,loam,7.7,12.3,121,7.6,165,135,75,7952,
1400,W-NCP,WNCP1400,2005,WNCP03,WS0184,7.40 ,13.72 ,2.30 ,2047.8,634,168.8,1531.9,3002.88,Fluvo-aquic soils,loam,10.8,30.5,178,7.1,113,90,60,6899,
1401,W-NCP,WNCP1401,2005,WNCP03,WS0184,6.91 ,13.21 ,1.84 ,1859,545.2,156.2,1451.6,2839.99,Fluvo-aquic soils,loam,8.3,74.1,182,7.5,113,90,60,6704,
1402,W-NCP,WNCP1402,2009,WNCP03,WS0184,6.21 ,11.97 ,1.30 ,1796.5,602.4,99.6,1524.2,2995.91,Solonchaks,loam,10.3,11.6,77,7.1,254,120,78,5984,
1403,W-NCP,WNCP1403,2005,WNCP03,WS0184,7.06 ,13.35 ,1.98 ,1902.4,578.6,156.2,1458.2,2870.11,Fluvo-aquic soils,loam,9.3,30.9,147,7.4,113,90,60,6119,
1404,W-NCP,WNCP1404,2006,WNCP03,WS0184,8.84 ,15.10 ,3.82 ,2359.3,841.1,151,1529,3067.97,Fluvo-aquic soils,sandy loam,9.4,13.6,72,7.5,210,120,60,4073,
1405,W-NCP,WNCP1405,2006,WNCP03,WS0184,8.45 ,14.67 ,3.46 ,2201.6,753.4,151,1480.2,2961.83,Fluvo-aquic soils,loam,11.1,14.6,71,7.3,210,120,60,6675,
1406,W-NCP,WNCP1406,2005,WNCP03,WS0184,7.29 ,13.61 ,2.19 ,2006,612.2,168.8,1519,2970.98,Fluvo-aquic soils,loam,8.1,30.6,154,7.5,113,90,60,4311,
1407,W-NCP,WNCP1407,2005,WNCP03,WS0184,7.36 ,13.69 ,2.26 ,2032.7,628.9,168.8,1529.8,2995.44,Fluvo-aquic soils,loam,8.7,24.7,115,7.2,113,90,60,3804,
1408,W-NCP,WNCP1408,2006,WNCP03,WS0184,8.30 ,14.52 ,3.33 ,2149,720.8,151,1463.6,2920.79,Fluvo-aquic soils,clay,11.3,22.9,75,7.5,210,120,60,4604,
1409,W-NCP,WNCP1409,2007,WNCP03,WS0184,7.59 ,13.71 ,2.47 ,2062.1,638.3,148.1,1420.5,2892.37,Fluvo-aquic soils,loam,10.3,21.8,159,7.1,225,120,60,4115,0.8
1410,W-NCP,WNCP1410,2005,WNCP03,WS0184,6.74 ,13.04 ,1.68 ,1784.3,520.5,156,1424.2,2784.94,Fluvo-aquic soils,loam,9.5,16.4,122,7.1,113,90,60,7101,
1411,W-NCP,WNCP1411,2006,WNCP03,WS0184,8.30 ,14.52 ,3.33 ,2149,720.8,151,1463.6,2920.79,Fluvo-aquic soils,loam,7.9,26.9,95,7.4,210,120,60,7050,
1412,W-NCP,WNCP1412,2006,WNCP03,WS0184,8.37 ,14.59 ,3.39 ,2174.8,736.6,151,1471.5,2940.68,Solonchaks,loam,10.9,7.3,83,7.5,210,120,60,6834,
1413,W-NCP,WNCP1413,2006,WNCP03,WS0184,8.53 ,14.75 ,3.53 ,2229.9,771.7,151,1486.8,2979.69,Fluvo-aquic soils,loam,12.1,21.3,79,7.4,210,120,60,6638,
1414,W-NCP,WNCP1414,2007,WNCP03,WS0184,7.43 ,13.54 ,2.32 ,2000.2,606.4,138.6,1401.8,2840.51,Fluvo-aquic soils,loam,10.3,18.5,100,7.2,225,120,60,7020,
1415,W-NCP,WNCP1415,2007,WNCP03,WS0184,7.43 ,13.54 ,2.32 ,2000.2,606.4,138.6,1401.8,2840.51,Fluvo-aquic soils,loam,9.2,21.6,144,7.2,225,120,60,5870,
1416,W-NCP,WNCP1416,2009,WNCP03,WS0184,6.07 ,11.82 ,1.17 ,1751,576.9,99.6,1507.1,2954.09,Fluvo-aquic soils,loam,11.2,10,96,7.1,254,120,78,7185,
1417,W-NCP,WNCP1417,2006,WNCP03,WS0184,8.45 ,14.67 ,3.46 ,2201.6,753.4,151,1480.2,2961.83,Solonchaks,loam,9.9,7.4,190,7.5,210,120,60,6908,
1418,W-NCP,WNCP1418,2006,WNCP03,WS0184,8.53 ,14.75 ,3.53 ,2229.9,771.7,151,1486.8,2979.69,Fluvo-aquic soils,loam,11.2,11.4,80,7.3,210,120,60,6710,
1419,W-NCP,WNCP1419,2007,WNCP03,WS0184,7.42 ,13.52 ,2.32 ,1999.4,605.6,142.4,1394.8,2826.71,Fluvo-aquic soils,loam,11,19.5,86,7.2,225,120,60,6950,
1420,W-NCP,WNCP1420,2007,WNCP03,WS0184,7.48 ,13.60 ,2.36 ,2021.1,617.3,138.6,1410.1,2861.04,Fluvo-aquic soils,loam,10.4,16,76,7.3,225,120,60,6911,
1421,W-NCP,WNCP1421,2008,WNCP03,WS0184,7.48 ,13.60 ,2.36 ,2021.1,617.3,138.6,1410.1,2861.04,Fluvo-aquic soils,loam,9.1,22.5,125,7.3,231,120,72,7553,
1422,W-NCP,WNCP1422,2007,WNCP03,WS0186,7.33 ,13.60 ,2.39 ,1969.5,615,155.4,1444.7,2913.46,Fluvo-aquic soils,loam,19.5,8,44,8.1,180,120,90,6315,
1423,W-NCP,WNCP1423,2007,WNCP03,WS0186,7.64 ,13.89 ,2.70 ,2090.9,676.4,159.7,1459.9,2976.31,Fluvo-aquic soils,loam,13.8,17.2,75,8.1,180,120,90,7211,
1424,W-NCP,WNCP1424,2008,WNCP03,WS0186,7.84 ,14.51 ,2.43 ,2144.2,731.3,193,1665.5,3195.39,Fluvo-aquic soils,loam,17.6,17.4,198,8.1,180,120,90,4850,
1425,W-NCP,WNCP1425,2008,WNCP03,WS0186,7.91 ,14.61 ,2.50 ,2186.9,744,193,1682.8,3232.13,Fluvo-aquic soils,loam,18.9,18.7,97,8,210,120,90,7395,
1426,W-NCP,WNCP1426,2008,WNCP03,WS0186,8.02 ,14.71 ,2.61 ,2214.3,771.4,262.1,1700.1,3272.33,Fluvo-aquic soils,loam,22.3,19.7,156,8,180,120,90,5138,
1427,W-NCP,WNCP1427,2008,WNCP03,WS0186,7.98 ,14.67 ,2.58 ,2205,762.1,262.1,1694,3257.99,Fluvo-aquic soils,loam,17.2,20.2,127,7.9,210,120,90,9621,
1428,W-NCP,WNCP1428,2007,WNCP03,WS0186,7.25 ,13.50 ,2.32 ,1920,605.5,155.4,1419.3,2865.94,Solonchaks,loam,14.1,43.7,52,7.5,180,120,90,6153,
1429,W-NCP,WNCP1429,2007,WNCP03,WS0186,7.55 ,13.83 ,2.59 ,2030.5,666,155.4,1443.5,2934.81,Fluvo-aquic soils,loam,12.7,46.3,76,7.8,180,120,90,6447,
1430,W-NCP,WNCP1430,2007,WNCP03,WS0213,8.86 ,14.22 ,4.30 ,2211.8,738.9,289.8,1378.9,2843.52,Cinnamon soils,sandy loam,11.2,15.6,138,8.2,210,120,90,6585,
1431,W-NCP,WNCP1431,2007,WNCP03,WS0213,9.52 ,14.79 ,5.06 ,2529.9,887,310.8,1405.2,2975.46,Cinnamon soils,loamy sand,11,3.7,176,8.2,210,120,90,6390,
1432,W-NCP,WNCP1432,2007,WNCP03,WS0213,9.15 ,14.47 ,4.64 ,2300.3,807.4,290.4,1366.2,2864.44,Cinnamon soils,loam,12.8,53,114,7.8,210,120,90,5565,
1433,W-NCP,WNCP1433,2008,WNCP03,WS0213,9.68 ,15.48 ,4.83 ,2493.9,886.8,178.7,1457.2,2966.21,Cinnamon soils,loam,11.9,24.9,155,7.9,210,120,90,7572,
1434,W-NCP,WNCP1434,2008,WNCP03,WS0216,9.53 ,15.62 ,4.08 ,2497.3,889,227.8,1444.5,2983.19,Cinnamon soils,sandy loam,21.9,10.2,206,7.2,225,120,90,5330,
1435,W-NCP,WNCP1435,2005,WNCP03,WS0217,11.20 ,16.51 ,6.99 ,3101.8,1268.6,154.5,1636.5,3377.24,Lime concretion fluvo-aquic soils,loamy sand,18.5,23.5,104,8.1,210,120,90,5754,
1436,W-NCP,WNCP1436,2005,WNCP03,WS0217,10.89 ,16.21 ,6.68 ,2964.9,1181.7,150.4,1614.9,3307.98,Lime concretion fluvo-aquic soils,clay,20,47.7,69,8.1,210,120,90,5733,
1437,W-NCP,WNCP1437,2005,WNCP03,WS0217,10.50 ,15.81 ,6.25 ,2622,1067.6,123.8,1490.1,3073.42,Cinnamon soils,sandy loam,17.1,20,130,8,210,120,90,5370,
1438,W-NCP,WNCP1438,2005,WNCP03,WS0217,10.78 ,16.09 ,6.59 ,2927.4,1154.2,150.5,1603.1,3279.36,Cinnamon soils,loam,12.8,9.5,122,8,210,120,90,5784,
1439,W-NCP,WNCP1439,2005,WNCP03,WS0217,11.10 ,16.40 ,6.91 ,3077.3,1244.1,150.5,1629.8,3358.52,Cinnamon soils,loamy sand,18,75.3,156,8.1,210,120,90,5678,
1440,W-NCP,WNCP1440,2005,WNCP03,WS0217,10.78 ,16.09 ,6.59 ,2927.4,1154.2,150.5,1603.1,3279.36,Cinnamon soils,loam,21.3,39.6,130,8,210,120,90,7236,
1441,W-NCP,WNCP1441,2005,WNCP03,WS0217,10.78 ,16.09 ,6.59 ,2927.4,1154.2,150.5,1603.1,3279.36,Cinnamon soils,loam,10.7,5,104,8.1,210,120,90,2891,
1442,W-NCP,WNCP1442,2006,WNCP03,WS0217,12.06 ,17.37 ,7.76 ,3193.4,1303.9,131.5,1540.5,3203.65,Lime concretion fluvo-aquic soils,clay,20.4,16.2,200,8,240,150,90,6255,
1443,W-NCP,WNCP1443,2006,WNCP03,WS0217,11.69 ,16.99 ,7.40 ,3002.3,1192.8,131.5,1478.7,3066.81,Lime concretion fluvo-aquic soils,loam,18.8,18.5,125,8,240,150,90,6330,
1444,W-NCP,WNCP1444,2007,WNCP03,WS0217,9.72 ,14.63 ,5.76 ,2586.8,913.6,296,1525.1,3136.11,Lime concretion fluvo-aquic soils,clay,19.8,22.1,140,8.2,240,150,90,6240,
1445,W-NCP,WNCP1445,2007,WNCP03,WS0217,9.65 ,14.53 ,5.71 ,2568.2,895,301.7,1514.6,3114.32,Lime concretion fluvo-aquic soils,loam,18.5,23.4,151,8,240,150,90,8475,
1446,W-NCP,WNCP1446,2007,WNCP03,WS0217,9.65 ,14.53 ,5.71 ,2568.2,895,301.7,1514.6,3114.32,Lime concretion fluvo-aquic soils,loam,16.5,25.6,182,8,240,150,90,5610,
1447,W-NCP,WNCP1447,2008,WNCP03,WS0217,9.61 ,15.71 ,4.43 ,2528,883.3,242.9,1477.2,3005.65,Lime concretion fluvo-aquic soils,sandy loam,15.3,37.3,122,8.1,240,150,90,8268,
1448,W-NCP,WNCP1448,2008,WNCP03,WS0217,9.63 ,15.76 ,4.45 ,2544.2,889.5,242.9,1491.2,3024.92,Lime concretion fluvo-aquic soils,loam,18.5,23.6,165,8.1,240,150,90,6548,
1449,W-NCP,WNCP1449,2008,WNCP03,WS0217,9.56 ,15.67 ,4.38 ,2505.7,871,242.9,1472.8,2991.2,Lime concretion fluvo-aquic soils,clay,21.4,19.2,142,8.3,240,150,90,7059,
1450,W-NCP,WNCP1450,2008,WNCP03,WS0217,9.76 ,15.87 ,4.54 ,2586.1,921.4,242.9,1506.3,3076.38,Cinnamon soils,loamy sand,14.2,32.5,141,8.2,240,150,90,6696,
1451,W-NCP,WNCP1451,2007,WNCP03,WS0219,9.31 ,14.49 ,5.02 ,2464.9,851.2,347.4,1307.3,2837.87,Lime concretion fluvo-aquic soils,silt loam,16.3,22,114,8.1,225,120,113,9072,
1452,W-NCP,WNCP1452,2008,WNCP03,WS0219,9.68 ,15.35 ,4.85 ,2418.3,886.5,259.7,1462.3,2958.81,Lime concretion fluvo-aquic soils,loamy sand,17.2,36,213,8.3,210,135,90,6906,
1453,W-NCP,WNCP1453,2007,WNCP03,WS0219,9.33 ,14.52 ,5.02 ,2469.7,856,341.6,1314.7,2852.28,Cinnamon soils,loamy sand,19.3,22,162,8.2,225,120,113,9065,
1454,W-NCP,WNCP1454,2006,WNCP03,WS0219,9.77 ,15.51 ,4.86 ,2444.5,912.4,112.5,1371.3,2898.35,Fluvo-aquic soils,loam,16.4,3.8,232,7.5,225,120,75,6656,
1455,W-NCP,WNCP1455,2007,WNCP03,WS0219,8.94 ,14.16 ,4.59 ,2219.1,775.4,326.6,1232.7,2683.89,Fluvo-aquic soils,loam,17.8,21.4,245,7.5,225,120,75,7394,
1456,W-NCP,WNCP1456,2006,WNCP03,WS0219,10.01 ,15.74 ,5.11 ,2551.8,969.7,112.5,1406.7,2963.9,Fluvo-aquic soils,loam,14.2,22.4,101,7.5,225,120,75,6725,
1457,W-NCP,WNCP1457,2006,WNCP03,WS0219,10.10 ,15.85 ,5.21 ,2603.4,991.3,112.5,1404,2963.2,Cinnamon soils,loam,17.1,15.7,168,7.5,225,120,75,6311,
1458,W-NCP,WNCP1458,2007,WNCP03,WS0219,9.16 ,14.40 ,4.78 ,2343.1,819.4,326.6,1293.5,2788.95,Cinnamon soils,sandy loam,15.5,19.5,128,7.9,225,120,75,9393,
1459,W-NCP,WNCP1459,2007,WNCP03,WS0219,8.92 ,14.13 ,4.54 ,2239.9,766.2,326.6,1265.5,2720.11,Lime concretion fluvo-aquic soils,clay,16.7,33.5,202,7.7,225,120,75,6642,
1460,W-NCP,WNCP1460,2006,WNCP03,WS0219,9.63 ,15.34 ,4.77 ,2399.3,877.2,112.5,1351,2841.99,Cinnamon soils,loam,12.1,11.9,102,7.5,225,120,75,5457,
1461,W-NCP,WNCP1461,2006,WNCP03,WS0219,10.06 ,15.79 ,5.15 ,2572.6,980.5,112.5,1412.8,2976.07,Cinnamon soils,loamy sand,19.7,23.2,169,7.5,225,120,75,6356,
1462,W-NCP,WNCP1462,2008,WNCP03,WS0187,7.54 ,13.85 ,2.31 ,2051.4,691.7,299,1556.7,3063.59,Fluvo-aquic soils,loam,13.1,23.5,105,7.4,195,105,75,6621,
1463,W-NCP,WNCP1463,2008,WNCP03,WS0187,7.54 ,13.85 ,2.31 ,2051.4,691.7,299,1556.7,3063.59,Fluvo-aquic soils,loam,14,19.3,99,8,210,120,75,7844,
1464,W-NCP,WNCP1464,2007,WNCP03,WS0187,7.67 ,13.38 ,3.09 ,2052.3,619,218.4,1535.6,3047.16,Cinnamon soils,sandy clay loam,11.3,19.3,68,7.6,203,68,68,7916,
1465,W-NCP,WNCP1465,2005,WNCP03,WS0187,7.97 ,14.21 ,3.26 ,2134.9,701.5,119.5,1473.7,2941.76,Cinnamon soils,clay,16.2,19.8,108,7.7,203,68,68,6657,
1466,W-NCP,WNCP1466,2007,WNCP03,WS0187,7.67 ,13.38 ,3.09 ,2052.3,619,218.4,1535.6,3047.16,Cinnamon soils,loam,13,15.6,76,7.9,210,68,68,7692,
1467,W-NCP,WNCP1467,2007,WNCP03,WS0187,7.67 ,13.38 ,3.09 ,2052.3,619,218.4,1535.6,3047.16,Cinnamon soils,loam,13.8,23.5,114,7.3,210,68,68,7337,
1468,W-NCP,WNCP1468,2007,WNCP03,WS0225,8.63 ,14.42 ,3.83 ,2442.1,803,252.4,1579.9,3258.92,Cinnamon soils,loamy sand,15.9,11.5,89,7.8,225,120,90,7056,
1469,W-NCP,WNCP1469,2008,WNCP03,WS0225,9.56 ,15.93 ,4.25 ,2708.1,1005.3,165.1,1729.2,3494.79,Cinnamon soils,loamy sand,13.5,14.8,88,7.9,225,120,90,7062,
1470,W-NCP,WNCP1470,2007,WNCP03,WS0225,8.63 ,14.42 ,3.83 ,2442.1,803,252.4,1579.9,3258.92,Cinnamon soils,loamy sand,15.9,20.3,196,8.1,225,120,90,7535,
1471,W-NCP,WNCP1471,2007,WNCP03,WS0225,8.63 ,14.42 ,3.83 ,2442.1,803,252.4,1579.9,3258.92,Cinnamon soils,loamy sand,12.5,9.6,81,8.3,225,120,90,7362,
1472,W-NCP,WNCP1472,2007,WNCP03,WS0225,8.63 ,14.42 ,3.83 ,2442.1,803,252.4,1579.9,3258.92,Cinnamon soils,loam,16.3,15,174,7.7,225,120,90,7539,
1473,W-NCP,WNCP1473,2007,WNCP03,WS0225,8.63 ,14.42 ,3.83 ,2442.1,803,252.4,1579.9,3258.92,Cinnamon soils,loam,12.4,27.3,178,8.3,225,120,90,7331,
1474,W-NCP,WNCP1474,2008,WNCP03,WS0225,9.26 ,15.65 ,3.92 ,2583,930.2,120.1,1695.8,3404.4,Cinnamon soils,loamy sand,17.3,14.1,171,7.6,225,120,90,6948,
1475,W-NCP,WNCP1475,2007,WNCP03,WS0249,7.89 ,13.12 ,3.93 ,2037.4,567.5,223.3,1494.2,2983.76,Brown earths,clay loam,8.4,12.8,63,5.6,225,120,90,7095,
1476,W-NCP,WNCP1476,2007,WNCP03,WS0249,7.91 ,13.11 ,3.98 ,2049.5,569.6,223.6,1480.8,2960.85,Brown earths,loam,9.1,17.2,74,6.2,210,60,90,7590,
1477,W-NCP,WNCP1477,2007,WNCP03,WS0249,7.94 ,13.17 ,3.98 ,2057,577.1,223.3,1500.4,2996.82,Cinnamon soils,sandy clay loam,7.9,15.8,75,6.2,90,90,120,4965,
1478,W-NCP,WNCP1478,2007,WNCP03,WS0249,9.25 ,14.60 ,5.23 ,2215.6,713.6,197.8,1510.8,2940.92,Brown earths,loam,13.4,13.3,97,6.5,225,120,90,7740,
1479,W-NCP,WNCP1479,2007,WNCP03,WS0222,7.86 ,13.75 ,2.75 ,2102.7,651,224.7,1484.9,2992.92,Cinnamon soils,loamy sand,15.7,15.3,112,7.5,210,90,135,6375,
1480,W-NCP,WNCP1480,2006,WNCP03,WS0222,9.70 ,15.43 ,4.85 ,2456.8,894.7,112.5,1353.1,2845.36,Cinnamon soils,loamy sand,9.3,26.5,75,7.8,210,90,135,6392,
1481,W-NCP,WNCP1481,2007,WNCP03,WS0222,7.86 ,13.75 ,2.75 ,2102.7,651,224.7,1484.9,2992.92,Cinnamon soils,loamy sand,13.8,44.5,187,5.5,210,90,135,5861,
1482,W-NCP,WNCP1482,2006,WNCP03,WS0222,9.70 ,15.43 ,4.85 ,2456.8,894.7,112.5,1353.1,2845.36,Cinnamon soils,loamy sand,9.3,26.5,75,7.8,210,90,135,7556,
1483,W-NCP,WNCP1483,2007,WNCP03,WS0222,7.86 ,13.75 ,2.75 ,2102.7,651,224.7,1484.9,2992.92,Cinnamon soils,loamy sand,19,38.6,147,8,210,90,135,7959,
1484,W-NCP,WNCP1484,2006,WNCP03,WS0222,9.70 ,15.43 ,4.85 ,2456.8,894.7,112.5,1353.1,2845.36,Cinnamon soils,loam,19,38.6,147,8,210,90,135,6762,
1485,W-NCP,WNCP1485,2006,WNCP03,WS0222,9.70 ,15.43 ,4.85 ,2456.8,894.7,112.5,1353.1,2845.36,Brown earths,loam,13.8,44.5,187,5.5,210,90,135,6407,
1486,W-NCP,WNCP1486,2007,WNCP03,WS0222,7.86 ,13.75 ,2.75 ,2102.7,651,224.7,1484.9,2992.92,Brown earths,loam,9.3,26.5,75,7.8,210,90,135,5966,
1487,W-NCP,WNCP1487,2006,WNCP03,WS0222,9.70 ,15.43 ,4.85 ,2456.8,894.7,112.5,1353.1,2845.36,Brown earths,loam,18.3,55.5,113,4.6,210,90,135,6671,
1488,W-NCP,WNCP1488,2007,WNCP03,WS0221,7.93 ,13.86 ,2.98 ,2190.3,702.7,230.3,1546.2,3187.6,Cinnamon soils,sand,11.8,28.3,179,6.8,225,120,75,7865,
1489,W-NCP,WNCP1489,2008,WNCP03,WS0221,9.00 ,15.54 ,3.42 ,2322,826.5,114.7,1701.6,3280.97,Cinnamon soils,loam,11.5,26.3,150,7.2,225,120,75,7848,
1490,W-NCP,WNCP1490,2009,WNCP03,WS0221,8.57 ,14.42 ,3.83 ,2574.2,954.5,208.7,1752.4,3541.29,Cinnamon soils,loam,11.4,25.8,149,6.9,225,120,75,7712,
1491,W-NCP,WNCP1491,2007,WNCP03,WS0221,8.01 ,13.93 ,3.08 ,2227.3,719.7,231.3,1546.2,3199.65,Cinnamon soils,sandy clay loam,13.4,20.7,171,6.9,225,120,75,7380,
1492,W-NCP,WNCP1492,2007,WNCP03,WS0221,7.53 ,13.46 ,2.59 ,2052.7,615.1,227.6,1501.5,3068.51,Cinnamon soils,sandy clay loam,13.2,22.9,185,7,225,120,75,6623,
1493,W-NCP,WNCP1493,2007,WNCP03,WS0221,7.53 ,13.46 ,2.59 ,2052.7,615.1,227.6,1501.5,3068.51,Cinnamon soils,sandy clay loam,15.5,28.8,161,7.1,225,120,75,6134,
1494,W-NCP,WNCP1494,2008,WNCP03,WS0221,8.98 ,15.51 ,3.42 ,2308.9,823.4,114.7,1692.2,3264.99,Cinnamon soils,loam,15.6,21.8,116,7.2,225,120,75,6989,
1495,W-NCP,WNCP1495,2007,WNCP03,WS0221,7.56 ,13.47 ,2.62 ,2066.9,619.3,227.6,1507.8,3081.12,Cinnamon soils,loamy sand,13,29.1,173,7,225,120,75,5591,
1496,W-NCP,WNCP1496,2008,WNCP03,WS0221,8.98 ,15.51 ,3.42 ,2308.9,823.4,114.7,1692.2,3264.99,Cinnamon soils,sandy clay loam,13.1,15.8,150,7.1,225,120,75,5190,
1497,W-NCP,WNCP1497,2009,WNCP03,WS0221,8.57 ,14.42 ,3.83 ,2574.2,954.5,208.7,1752.4,3541.29,Cinnamon soils,sandy clay loam,12.9,16.6,156,7.3,225,120,75,4958,
1498,W-NCP,WNCP1498,2008,WNCP03,WS0221,8.96 ,15.47 ,3.41 ,2294.4,818.9,114.7,1683.3,3249.73,Cinnamon soils,loam,13,18.7,145,6.9,225,120,75,8058,
1499,W-NCP,WNCP1499,2008,WNCP03,WS0221,8.96 ,15.47 ,3.41 ,2294.4,818.9,114.7,1683.3,3249.73,Cinnamon soils,loam,13,22.9,146,6.8,225,120,75,4728,
1500,W-NCP,WNCP1500,2008,WNCP03,WS0192,8.75 ,13.20 ,5.29 ,2305.4,766.2,268.5,1733.7,3370.75,Brown earths,loam,13.4,25.2,144,6.4,225,75,225,6900,
1501,W-NCP,WNCP1501,2008,WNCP03,WS0192,8.69 ,13.11 ,5.24 ,2300.3,751.1,268.3,1744.1,3373.31,Brown earths,loamy sand,10.4,16.9,86,5.4,225,75,225,6858,
1502,W-NCP,WNCP1502,2006,WNCP03,WS0194,10.37 ,14.05 ,7.41 ,2763.4,939.4,180.9,1782.1,3519.48,Brown earths,clay,8.8,24,66,5,195,90,120,6842,
1503,W-NCP,WNCP1503,2005,WNCP03,WS0195,6.60 ,11.03 ,3.23 ,1823.4,469.3,244.8,1673.1,3231.56,Brown earths,loamy sand,10.1,48.8,105,5.7,180,90,150,5250,
1504,W-NCP,WNCP1504,2005,WNCP03,WS0195,6.56 ,10.99 ,3.20 ,1807.2,463.1,244.8,1663,3214.37,Skeletal soil,loam,10.2,18.5,75,5.2,180,90,150,4418,
1505,W-NCP,WNCP1505,2005,WNCP03,WS0195,6.09 ,10.49 ,2.77 ,1612.5,398.4,242.4,1555,3028.83,Brown earths,loam,11.2,30.2,70,5.8,180,90,150,4001,
1506,W-NCP,WNCP1506,2005,WNCP03,WS0195,6.09 ,10.49 ,2.77 ,1612.5,398.4,242.4,1555,3028.83,Brown earths,loam,9.1,19.8,65,5.3,180,90,150,5823,
1507,W-NCP,WNCP1507,2006,WNCP03,WS0195,8.86 ,13.59 ,5.39 ,2323.1,717.8,177.4,1735.5,3408.23,Brown earths,loam,13.5,30.3,40,5.3,210,90,180,5510,
1508,W-NCP,WNCP1508,2006,WNCP03,WS0195,8.73 ,13.47 ,5.25 ,2262,686.7,177.4,1719.9,3375.52,Brown earths,loamy sand,14.1,54.8,50,4.2,180,60,150,6162,
1509,W-NCP,WNCP1509,2008,WNCP03,WS0229,8.02 ,13.71 ,3.24 ,2173,672.5,293.1,1810.7,3475.86,Brown earths,loam,9.9,29.9,79,5.2,180,90,150,7509,
1510,W-NCP,WNCP1510,2008,WNCP03,WS0229,8.19 ,13.90 ,3.38 ,2247.2,706.7,293.1,1848.9,3544.56,Brown earths,loam,11,40.4,97,4.7,180,90,150,7313,
1511,W-NCP,WNCP1511,2009,WNCP03,WS0229,6.08 ,11.12 ,1.90 ,1761.8,491.9,269.2,1607.1,3172.77,Brown earths,loam,11.7,9.7,72,4.1,180,90,150,4869,
1512,W-NCP,WNCP1512,2006,WNCP03,WS0229,8.99 ,14.61 ,4.42 ,2401.5,762.1,212.7,1809.9,3505.89,Brown earths,loam,7.2,14.3,102,5.4,180,90,150,6968,
1513,W-NCP,WNCP1513,2006,WNCP03,WS0191,9.36 ,15.12 ,4.75 ,2547.3,891.9,199.1,1834.9,3583.38,Brown earths,clay,11.7,31,87,5.3,210,45,90,6483,
1514,W-NCP,WNCP1514,2008,WNCP03,WS0191,8.64 ,14.40 ,3.84 ,2457.5,855,242.1,1944.4,3705.38,Brown earths,clay,9.8,42,56,6.4,225,90,90,6483,
1515,W-NCP,WNCP1515,2005,WNCP03,WS0191,7.49 ,13.09 ,3.00 ,2117.7,643.3,187.1,1790.4,3436.92,Brown earths,loamy sand,11.2,10.6,78,4.7,210,45,90,7574,
1516,W-NCP,WNCP1516,2006,WNCP03,WS0191,9.36 ,15.12 ,4.75 ,2547.3,891.9,199.1,1834.9,3583.38,Brown earths,sandy loam,14.3,22.8,78,5.7,210,45,90,6405,
1517,W-NCP,WNCP1517,2008,WNCP03,WS0191,8.37 ,14.12 ,3.59 ,2309.6,797.1,238.8,1894.9,3598.14,Brown earths,loam,17,70,79,6.3,225,90,90,7805,
1518,W-NCP,WNCP1518,2005,WNCP03,WS0191,6.72 ,12.27 ,2.25 ,1830.7,486.3,135,1687.4,3177.29,Brown earths,sandy loam,10.2,45.5,93,5,210,45,90,6084,
1519,W-NCP,WNCP1519,2006,WNCP03,WS0191,9.36 ,15.12 ,4.75 ,2547.3,891.9,199.1,1834.9,3583.38,Brown earths,silt loam,13.9,31.7,92,4.7,210,45,90,5955,
1520,W-NCP,WNCP1520,2007,WNCP03,WS0191,7.91 ,13.13 ,3.71 ,2251.8,685.1,218.3,1769.3,3459.27,Brown earths,silt loam,11.3,29.1,75,5.5,210,45,90,7982,
1521,W-NCP,WNCP1521,2005,WNCP03,WS0191,7.56 ,13.16 ,3.05 ,2142.1,657.7,187.1,1800.9,3460.99,Brown earths,loam,10.6,16.8,85,4.7,210,45,90,5853,
1522,W-NCP,WNCP1522,2005,WNCP03,WS0191,7.90 ,13.53 ,3.36 ,2269.1,734.7,191.7,1846.7,3570.79,Brown earths,loam,11,15.6,40,5.7,210,45,90,7508,
1523,W-NCP,WNCP1523,2007,WNCP03,WS0191,7.91 ,13.13 ,3.71 ,2251.8,685.1,218.3,1769.3,3459.27,Brown earths,sandy loam,10.2,15.5,48,5.5,210,45,90,4853,
1524,W-NCP,WNCP1524,2006,WNCP03,WS0191,9.36 ,15.12 ,4.75 ,2547.3,891.9,199.1,1834.9,3583.38,Brown earths,loam,8.7,11,44,4.9,210,45,90,6404,
