Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,
73,W-NCP,WNCP0073,2009,WNCP01,WS0029,7.30 ,12.80 ,2.82 ,2154.6,828.9,123.7,1551,3123.32,Cinnamon soils,loamy sand,13.9,35.1,109,7.7,225,150,150,6173,
74,W-NCP,WNCP0074,2009,WNCP01,WS0029,7.54 ,13.07 ,3.04 ,2215.5,889.8,134.9,1567.8,3180.81,Cinnamon soils,loamy sand,20.3,32.4,94,8.3,225,150,150,6869,
75,W-NCP,WNCP0075,2009,WNCP01,WS0029,7.36 ,12.88 ,2.86 ,2146.8,851.1,134.9,1552.9,3138,Cinnamon soils,loamy sand,13.5,42.6,98,8.3,225,150,150,6219,
76,W-NCP,WNCP0076,2009,WNCP01,WS0029,7.28 ,12.79 ,2.79 ,2149.4,823.7,121.4,1552.5,3119.55,Cinnamon soils,loamy sand,13.6,63.6,149,8.4,225,150,150,6354,
77,W-NCP,WNCP0077,2008,WNCP01,WS0035,9.54 ,15.57 ,4.46 ,2409,894.3,94.4,1635,3131.14,Cinnamon soils,loamy sand,17.6,12.8,144,8,225,150,150,8325,
78,W-NCP,WNCP0078,2008,WNCP01,WS0035,9.85 ,15.88 ,4.76 ,2554,969.3,94.4,1691.3,3251.34,Cinnamon soils,loamy sand,21.5,6.4,133,7.6,180,150,120,6675,
79,W-NCP,WNCP0079,2009,WNCP01,WS0035,7.69 ,12.95 ,3.39 ,2143.7,848.3,119.3,1575.6,3164.93,Cinnamon soils,loamy sand,19.5,6.3,117,7.9,225,150,150,7530,
80,W-NCP,WNCP0080,2009,WNCP01,WS0035,8.16 ,13.43 ,3.86 ,2334,948.6,121.1,1635.4,3297.3,Cinnamon soils,loamy sand,14.2,11.2,133,8,225,150,150,4995,
81,W-NCP,WNCP0081,2009,WNCP01,WS0035,7.83 ,13.09 ,3.54 ,2210,874.6,119.8,1594.6,3205.28,Cinnamon soils,loamy sand,14.8,10.5,106,8.1,225,150,150,4395,
82,W-NCP,WNCP0082,2009,WNCP01,WS0035,7.79 ,13.03 ,3.52 ,2198.9,863.5,119.8,1587.8,3189.69,Cinnamon soils,loamy sand,15.8,21.9,158,7.8,225,150,150,6885,
