crop,Tave_high,Tmax_high,Tmin_high,GDD>0_high,GDD>10_high,PRE_high,SSD_high,RAD_high,Tave_low,Tmax_low,Tmin_low,GDD>0_low,GDD>10_low,PRE_low,SSD_low,RAD_low
ER-SC,26.9 ,31.3 ,24.0 ,2853.6 ,1793.6 ,1043.1 ,505.7 ,1587.8 ,27.1 ,31.5 ,24.2 ,2802.1 ,1768.7 ,1019.4 ,507.0 ,1572.4 
ER-SC,25.7 ,30.5 ,22.0 ,2052.5 ,1252.5 ,349.5 ,439.8 ,1297.4 ,26.1 ,30.8 ,22.7 ,1993.7 ,1230.4 ,354.3 ,432.5 ,1260.8 
ER-SC,25.9 ,30.8 ,22.1 ,2409.8 ,1479.8 ,373.8 ,516.5 ,1510.1 ,26.1 ,31.0 ,22.5 ,2126.4 ,1313.0 ,572.7 ,464.7 ,1352.3 
ER-SC,25.1 ,29.4 ,21.8 ,1893.0 ,1138.0 ,389.0 ,343.8 ,1110.7 ,25.2 ,30.0 ,21.7 ,2287.1 ,1381.1 ,516.4 ,483.1 ,1444.1 
ER-SC,25.1 ,30.0 ,21.3 ,2179.8 ,1309.8 ,514.0 ,494.9 ,1440.4 ,25.0 ,29.9 ,21.3 ,2146.2 ,1286.2 ,541.8 ,476.6 ,1402.9 
ER-SC,25.1 ,30.0 ,21.5 ,1909.8 ,1149.8 ,428.6 ,439.4 ,1271.6 ,24.9 ,29.7 ,21.3 ,1942.4 ,1162.4 ,448.4 ,439.4 ,1285.5 
ER-SC,25.9 ,30.7 ,22.4 ,2075.3 ,1275.3 ,507.0 ,439.9 ,1301.3 ,26.2 ,30.7 ,22.9 ,2250.9 ,1390.9 ,637.0 ,439.0 ,1342.9 
ER-SC,25.9 ,31.2 ,21.8 ,2049.7 ,1257.7 ,416.9 ,484.9 ,1368.5 ,25.0 ,29.6 ,21.5 ,2032.0 ,1219.1 ,395.6 ,482.4 ,1375.9 
ER-SC,26.0 ,30.3 ,22.7 ,2079.1 ,1279.1 ,475.8 ,531.7 ,1450.4 ,24.7 ,29.6 ,21.1 ,2172.5 ,1295.8 ,462.1 ,566.8 ,1557.0 
ER-SC,25.4 ,30.6 ,21.6 ,2105.3 ,1275.3 ,520.2 ,403.9 ,1263.5 ,25.5 ,30.8 ,21.7 ,2075.5 ,1263.0 ,428.0 ,413.0 ,1266.0 
ER-SC,25.8 ,31.3 ,21.5 ,2209.6 ,1354.6 ,468.6 ,528.7 ,1483.4 ,25.6 ,31.3 ,21.3 ,2069.5 ,1262.3 ,507.2 ,475.6 ,1363.4 
ER-SC,26.2 ,30.8 ,22.6 ,2280.1 ,1410.1 ,548.8 ,520.3 ,1477.7 ,25.6 ,30.5 ,21.9 ,2049.1 ,1249.1 ,464.4 ,465.7 ,1342.3 
ER-SC,28.2 ,31.8 ,25.7 ,2596.0 ,1676.0 ,676.4 ,503.6 ,1488.3 ,28.2 ,31.8 ,25.7 ,2596.0 ,1676.0 ,676.4 ,503.6 ,1488.3 
ER-SC,23.1 ,27.3 ,20.0 ,2236.2 ,1266.2 ,658.9 ,373.2 ,1310.1 ,23.6 ,28.1 ,20.2 ,2232.8 ,1284.1 ,589.9 ,403.5 ,1346.4 
ER-SC,24.3 ,28.3 ,21.3 ,1916.6 ,1126.6 ,762.9 ,278.1 ,1028.7 ,24.3 ,28.3 ,21.3 ,1916.6 ,1126.6 ,762.9 ,278.1 ,1028.7 
ER-SC,25.5 ,29.7 ,22.5 ,2169.1 ,1319.1 ,688.7 ,358.2 ,1203.0 ,26.3 ,30.9 ,23.0 ,2262.1 ,1402.1 ,740.3 ,400.1 ,1278.9 
ER-SC,24.0 ,27.7 ,21.2 ,2255.5 ,1315.5 ,660.0 ,456.5 ,1423.7 ,24.2 ,27.9 ,21.4 ,1959.0 ,1149.0 ,737.7 ,369.1 ,1190.5 
