Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,,
105,LR-SC,LRSC0105,2008,LRSC03,WS0874,26.25 ,32.12 ,22.12 ,2572.2,1592.2,437.7,602.9,1575.93,Paddy soil,sandy loam,26.4,37.8,102,4.5,180,83,108,7314,,
106,LR-SC,LRSC0106,2008,LRSC03,WS0874,26.26 ,32.19 ,22.12 ,2705.1,1675.1,442.5,642.9,1669.15,Paddy soil,sandy loam,28.9,38.3,142,4.4,180,83,108,8219,,
107,LR-SC,LRSC0107,2008,LRSC03,WS0874,26.09 ,31.93 ,21.98 ,2556.6,1576.6,438.6,594.2,1550.61,Paddy soil,sandy loam,22.9,52.2,148,4.4,180,83,108,8025,,
108,LR-SC,LRSC0108,2008,LRSC03,WS0874,26.02 ,31.83 ,21.94 ,2576.2,1586.2,438.6,594.3,1555.72,Paddy soil,sandy loam,26.7,43.5,267,4.5,180,83,108,7559,,
109,LR-SC,LRSC0109,2008,LRSC03,WS0874,25.97 ,31.77 ,21.90 ,2596.9,1596.9,438.6,597.4,1564.88,Paddy soil,sandy loam,17.9,52.4,186,4.6,180,83,108,8430,,
110,LR-SC,LRSC0110,2009,LRSC03,WS0874,27.02 ,32.83 ,22.66 ,2540.3,1600.3,216.7,684.3,1695.26,Paddy soil,loam,27.3,60.9,68,4.2,180,83,108,6554,,
111,LR-SC,LRSC0111,2007,LRSC04,WS0659,25.77 ,31.47 ,21.89 ,2447.9,1497.9,379.4,541.8,1421.02,Paddy soil,sandy loam,31.5,11.6,99,5.4,167,36,135,7575,,
112,LR-SC,LRSC0112,2007,LRSC04,WS0659,25.39 ,30.91 ,21.71 ,2183.7,1323.7,379.3,444.8,1208.62,Paddy soil,sandy loam,20.8,74.2,62,6.2,167,36,135,6603,,
113,LR-SC,LRSC0113,2007,LRSC04,WS0665,25.90 ,31.17 ,22.20 ,2590.3,1590.3,317,632.6,1600.98,Paddy soil,loam,35.2,37.2,224,5,150,45,120,7500,,
114,LR-SC,LRSC0114,2006,LRSC04,WS0893,27.01 ,32.05 ,23.38 ,2538.6,1598.6,237.3,732.9,1719.06,Paddy soil,sandy loam,34.1,46.2,67,7.2,165,63,135,6480,,
115,LR-SC,LRSC0115,2006,LRSC04,WS0900,25.45 ,31.52 ,21.16 ,2316.1,1406.1,213.6,588.986,1417.87,Paddy soil,loam,36.5,6.6,46,6.2,158,30,75,8318,,
116,LR-SC,LRSC0116,2007,LRSC04,WS0900,25.14 ,30.44 ,21.56 ,2187,1317,305.3,439.814,1173.58,Paddy soil,sandy loam,21.7,20.8,59,8.2,158,30,75,9320,,
117,LR-SC,LRSC0117,2008,LRSC04,WS0923,24.94 ,29.21 ,21.94 ,2344.6,1404.6,196.2,620.4,1413.14,Paddy soil,loam,12.2,43.2,85,5.3,165,39,117,5750,,
118,LR-SC,LRSC0118,2006,LRSC04,WS0921,26.62 ,31.38 ,23.10 ,2263.1,1413.1,248.4,532.2,1298.37,Paddy soil,sandy loam,23,15.4,151,6.7,168,36,83,8025,,
119,LR-SC,LRSC0119,2008,LRSC04,WS0922,26.91 ,31.03 ,23.84 ,2637,1657,185.9,735.2,1709.24,Paddy soil,sandy loam,30.1,12.1,34,5.7,207,36,135,7710,,
120,LR-SC,LRSC0120,2006,LRSC04,WS0920,26.22 ,31.09 ,22.53 ,2280.8,1410.8,324.2,519.8,1295.73,Paddy soil,sandy loam,9.8,12,50,6.2,202,54,203,6681,,
121,LR-SC,LRSC0121,2006,LRSC04,WS0920,26.22 ,31.09 ,22.53 ,2280.8,1410.8,324.2,519.8,1295.73,Paddy soil,loam,19.2,24.8,113,6.7,128,27,90,8565,,
122,LR-SC,LRSC0122,2007,LRSC04,WS0897,24.85 ,30.30 ,21.35 ,2484.5,1484.5,465.1,522,1398.69,Paddy soil,loam,22.1,5.2,42,5.3,155,45,95,5700,,
123,LR-SC,LRSC0123,2007,LRSC04,WS0897,25.18 ,30.69 ,21.58 ,2643.5,1593.5,465.1,572.2,1522.04,Paddy soil,loam,18.2,35.3,68,5.5,155,45,95,5513,,
124,LR-SC,LRSC0124,2008,LRSC04,WS0897,25.72 ,31.29 ,22.24 ,2648.9,1618.9,338.7,527.5,1431.95,Paddy soil,loam,32.1,59.3,65,4.9,121,36,86,7595,,
125,LR-SC,LRSC0125,2008,LRSC04,WS0897,26.32 ,31.96 ,22.74 ,2368.5,1468.5,283.1,487.4,1316.01,Paddy soil,loam,19.3,26,59,5.3,121,36,86,7185,,
126,LR-SC,LRSC0126,2006,LRSC04,WS0899,25.83 ,31.44 ,22.09 ,2660.4,1630.4,290.5,690.5,1692.49,Paddy soil,silty clay loam,26.4,13,29,5.4,156,36,113,8010,,
127,LR-SC,LRSC0127,2007,LRSC04,WS0899,26.58 ,31.82 ,23.26 ,2604.4,1624.4,592.8,570.1,1512.01,Paddy soil,clay loam,36,69.2,56,6.5,156,36,113,7704,,
