Soil quality,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
low,early rice,ERSC1227,2009,ERSC08,WS0595,26.40 ,31.17 ,22.73 ,2032.7,1262.7,489.3,390.1,1198.65,Paddy soils,,25.9 ,13.1 ,27 ,5.1 ,149 ,54 ,114 ,6480 
low,early rice,ERSC1231,2007,ERSC08,WS0595,25.68 ,30.09 ,22.61 ,2028.4,1238.4,527.1,358,1158.54,Paddy soils,,31.0 ,15.2 ,117 ,4.8 ,138 ,54 ,108 ,5955 
low,early rice,ERSC1235,2009,ERSC08,WS0595,26.04 ,30.58 ,22.62 ,2239.6,1379.6,447.8,483.8,1416.01,Paddy soils,,18.0 ,9.9 ,21 ,5.0 ,165 ,54 ,162 ,7245 
high,early rice,ERSC1244,2006,ERSC08,WS0594,25.06 ,29.75 ,21.69 ,2054.8,1234.8,742,353.7,1174.1,Paddy soils,,38.0 ,60.0 ,101 ,4.9 ,135 ,68 ,135 ,7200 
high,early rice,ERSC1247,2009,ERSC08,WS0594,24.90 ,30.25 ,21.04 ,2141.6,1281.6,535.7,410.8,1295.86,Paddy soils,,42.0 ,31.1 ,48 ,5.1 ,138 ,54 ,117 ,6600 
high,early rice,ERSC1248,2007,ERSC08,WS0594,25.06 ,29.75 ,21.69 ,2054.8,1234.8,742,353.7,1174.1,Paddy soils,,36.5 ,32.9 ,60 ,4.9 ,153 ,54 ,135 ,7200 
high,early rice,ERSC1251,2007,ERSC08,WS0594,25.06 ,29.75 ,21.69 ,2054.8,1234.8,742,353.7,1174.1,Paddy soils,,35.9 ,15.6 ,39 ,5.3 ,138 ,54 ,117 ,6750 
high,early rice,ERSC1253,2009,ERSC08,WS0594,24.90 ,30.25 ,21.04 ,2141.6,1281.6,535.7,410.8,1295.86,Paddy soils,,42.6 ,16.8 ,95 ,4.8 ,137 ,68 ,158 ,6600 
high,early rice,ERSC1254,2008,ERSC08,WS0632,24.61 ,30.26 ,20.70 ,2116.8,1256.8,477.7,429,1325.88,Paddy soils,,35.7 ,18.3 ,117 ,5.3 ,146 ,54 ,135 ,7596 
low,early rice,ERSC1255,2009,ERSC08,WS0632,24.87 ,30.72 ,20.65 ,2014.8,1204.8,387.5,389.1,1224.57,Paddy soils,,24.3 ,10.6 ,140 ,5.8 ,152 ,54 ,135 ,8106 
low,early rice,ERSC1257,2008,ERSC08,WS0632,24.61 ,30.26 ,20.70 ,2116.8,1256.8,477.7,429,1325.88,Paddy soils,,26.2 ,11.3 ,55 ,5.3 ,152 ,54 ,135 ,8165 
low,early rice,ERSC1258,2009,ERSC08,WS0632,24.87 ,30.72 ,20.65 ,2014.8,1204.8,387.5,389.1,1224.57,Paddy soils,,26.2 ,11.3 ,55 ,5.3 ,152 ,54 ,135 ,8165 
high,early rice,ERSC1262,2008,ERSC08,WS0635,26.00 ,30.70 ,22.66 ,2236.3,1376.3,488.9,434.9,1335.77,Paddy soils,,42.1 ,44.2 ,50 ,4.6 ,138 ,54 ,135 ,5850 
low,early rice,ERSC1263,2008,ERSC08,WS0635,26.00 ,30.70 ,22.66 ,2236.3,1376.3,488.9,434.9,1335.77,Paddy soils,,16.6 ,8.0 ,30 ,5.4 ,149 ,48 ,104 ,7467 
high,early rice,ERSC1267,2008,ERSC08,WS0634,26.41 ,31.66 ,22.40 ,2033.3,1263.3,399.3,428.1,1261.08,Paddy soils,,36.5 ,23.2 ,45 ,5.0 ,150 ,75 ,150 ,6251 
high,early rice,ERSC1268,2008,ERSC08,WS0634,26.41 ,31.66 ,22.40 ,2033.3,1263.3,399.3,428.1,1261.08,Paddy soils,,56.0 ,20.4 ,48 ,5.4 ,150 ,75 ,150 ,7608 
high,early rice,ERSC1272,2010,ERSC08,WS0832,25.94 ,29.98 ,22.90 ,2230.9,1370.9,1133.8,342.7,1185.07,Paddy soils,,47.1 ,37.4 ,108 ,4.9 ,143 ,75 ,75 ,7656 
high,early rice,ERSC1273,2008,ERSC08,WS0832,26.08 ,30.64 ,22.63 ,2243.3,1383.3,590.6,471.7,1394.96,Paddy soils,,39.5 ,18.8 ,140 ,4.9 ,138 ,63 ,120 ,7410 
high,early rice,ERSC1274,2008,ERSC08,WS0832,26.08 ,30.64 ,22.63 ,2243.3,1383.3,590.6,471.7,1394.96,Paddy soils,,54.5 ,26.3 ,64 ,4.7 ,158 ,83 ,128 ,7365 
high,early rice,ERSC1275,2010,ERSC08,WS0832,25.94 ,29.98 ,22.90 ,2230.9,1370.9,1133.8,342.7,1185.07,Paddy soils,,54.5 ,26.3 ,64 ,4.7 ,162 ,69 ,120 ,4032 
low,early rice,ERSC1276,2008,ERSC08,WS0832,26.08 ,30.64 ,22.63 ,2243.3,1383.3,590.6,471.7,1394.96,Paddy soils,,27.0 ,10.7 ,115 ,5.2 ,138 ,63 ,120 ,7815 
low,early rice,ERSC1277,2010,ERSC08,WS0832,25.94 ,29.98 ,22.90 ,2230.9,1370.9,1133.8,342.7,1185.07,Paddy soils,,27.0 ,10.7 ,115 ,5.2 ,138 ,63 ,120 ,7815 
high,early rice,ERSC1278,2010,ERSC08,WS0832,25.94 ,29.98 ,22.90 ,2230.9,1370.9,1133.8,342.7,1185.07,Paddy soils,,37.6 ,16.4 ,75 ,4.9 ,138 ,66 ,108 ,6482 
low,early rice,ERSC1279,2006,ERSC08,WS0850,24.80 ,29.62 ,21.33 ,2034,1214,907.3,422.1,1284.51,Paddy soils,,30.5 ,15.0 ,161 ,4.9 ,162 ,78 ,123 ,5505 
high,early rice,ERSC1283,2007,ERSC08,WS0850,24.80 ,29.62 ,21.33 ,2034,1214,907.3,422.1,1284.51,Paddy soils,,35.7 ,15.6 ,79 ,5.1 ,162 ,78 ,123 ,6270 
low,early rice,ERSC1286,2008,ERSC08,WS0850,24.82 ,30.16 ,20.83 ,2034.9,1214.9,527.5,437.3,1310.05,Paddy soils,,20.6 ,9.7 ,71 ,4.9 ,143 ,62 ,102 ,3780 
low,early rice,ERSC1290,2006,ERSC08,WS0852,25.35 ,30.36 ,21.65 ,2179.8,1319.8,582.6,467.5,1388.77,Paddy soils,,20.0 ,7.0 ,44 ,4.9 ,140 ,80 ,119 ,6735 
low,early rice,ERSC1293,2008,ERSC08,WS0852,25.35 ,30.36 ,21.65 ,2179.8,1319.8,582.6,467.5,1388.77,Paddy soils,,11.3 ,8.4 ,91 ,5.0 ,138 ,78 ,108 ,6810 
high,early rice,ERSC0054,2009,ERSC01,WS0901,25.92 ,31.63 ,21.76 ,2281.3,1401.3,412.8,501.8,1461.13,Paddy soils,,38.9 ,16.5 ,49 ,4.9 ,150 ,60 ,105 ,9093 
