Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
45,M-SWC,MSWC0045,2008,MSWC01,22.0 ,27.1 ,18.5 ,3100.0 ,1690.0 ,729.3 ,537.5 ,1858.7 ,late_maturity,Limestone soils,,31.9 ,11.4 ,80.0 ,7.7 ,225 ,150 ,240 ,5564 ,9926 
46,M-SWC,MSWC0046,2009,MSWC01,21.1 ,25.7 ,17.9 ,2947.6 ,1547.6 ,608.9 ,518.7 ,1841.4 ,medium_maturity,Limestone soils,,16.6 ,4.8 ,40.0 ,8.1 ,180 ,120 ,180 ,4775 ,6575 
47,M-SWC,MSWC0047,2009,MSWC01,20.6 ,25.2 ,17.5 ,2867.3 ,1479.6 ,616.5 ,481.9 ,1774.4 ,late_maturity,Limestone soils,,33.2 ,14.3 ,115.0 ,7.6 ,210 ,135 ,210 ,5000 ,7050 
48,M-SWC,MSWC0048,2008,MSWC01,22.1 ,27.3 ,18.6 ,3098.6 ,1698.6 ,712.7 ,554.8 ,1875.1 ,late_maturity,Limestone soils,,27.5 ,20.3 ,330.0 ,6.8 ,210 ,135 ,210 ,4140 ,9720 
49,M-SWC,MSWC0049,2007,MSWC01,20.5 ,25.4 ,17.0 ,3305.7 ,1696.6 ,947.3 ,651.2 ,2191.1 ,medium_maturity,Yellow earths,,28.8 ,9.7 ,184.0 ,6.5 ,210 ,135 ,210 ,3557 ,7338 
50,M-SWC,MSWC0050,2007,MSWC01,20.4 ,25.4 ,16.8 ,3147.2 ,1612.4 ,927.3 ,639.2 ,2129.3 ,late_maturity,Yellow earths,,28.5 ,8.0 ,179.0 ,6.2 ,210 ,135 ,210 ,3502 ,8079 
51,M-SWC,MSWC0051,2008,MSWC01,19.8 ,24.9 ,16.2 ,3419.5 ,1694.5 ,771.5 ,658.5 ,2275.2 ,medium_maturity,Yellow earths,,23.6 ,16.9 ,293.0 ,5.9 ,210 ,135 ,210 ,4600 ,9228 
52,M-SWC,MSWC0052,2008,MSWC01,20.7 ,25.8 ,17.1 ,3195.3 ,1655.3 ,763.1 ,599.2 ,2057.3 ,medium_maturity,Yellow earths,,21.8 ,5.0 ,103.0 ,7.8 ,210 ,135 ,210 ,5950 ,9750 
53,M-SWC,MSWC0053,2008,MSWC01,19.9 ,25.0 ,16.3 ,3361.4 ,1676.4 ,770.5 ,638.2 ,2218.9 ,medium_maturity,Yellow earths,,8.0 ,46.0 ,142.0 ,6.2 ,225 ,150 ,240 ,5717 ,10467 
54,M-SWC,MSWC0054,2008,MSWC01,19.9 ,25.1 ,16.4 ,3469.7 ,1734.7 ,778.3 ,657.7 ,2280.3 ,medium_maturity,Yellow earths,,25.9 ,27.6 ,100.0 ,4.8 ,180 ,120 ,180 ,1950 ,6317 
55,M-SWC,MSWC0055,2007,MSWC01,20.1 ,24.9 ,16.6 ,3354.0 ,1698.2 ,973.4 ,645.3 ,2221.0 ,medium_maturity,Yellow earths,,25.3 ,17.8 ,156.0 ,6.5 ,210 ,135 ,210 ,5500 ,7046 
