Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
27,W-YZB,WYZB0027,2008,WYZB01,11.7 ,16.2 ,8.0 ,2574.0 ,847.4 ,263.0 ,1181.0 ,2615.6 ,small_spike,Paddy soils,clay,20.8 ,28.5 ,90.0 ,7.3 ,210 ,90 ,135 ,2030 ,6230 
28,W-YZB,WYZB0028,2008,WYZB01,11.9 ,16.4 ,8.2 ,2656.8 ,890.2 ,278.3 ,1192.9 ,2648.1 ,small_spike,Paddy soils,clay,20.8 ,20.1 ,90.0 ,7.3 ,210 ,90 ,135 ,3101 ,6551 
29,W-YZB,WYZB0029,2008,WYZB01,11.9 ,16.4 ,8.2 ,2656.8 ,890.2 ,278.3 ,1192.9 ,2648.1 ,small_spike,Paddy soils,clay,15.4 ,34.0 ,76.0 ,7.6 ,210 ,90 ,135 ,3101 ,7250 
30,W-YZB,WYZB0030,2009,WYZB01,9.6 ,13.8 ,6.3 ,2074.0 ,614.3 ,473.5 ,1033.9 ,2378.6 ,small_spike,Paddy soils,clay,19.0 ,5.8 ,94.0 ,6.0 ,210 ,90 ,135 ,2835 ,7305 
31,W-YZB,WYZB0031,2009,WYZB01,9.6 ,13.8 ,6.3 ,2074.0 ,614.3 ,473.5 ,1033.9 ,2378.6 ,small_spike,Paddy soils,clay,26.7 ,14.7 ,110.0 ,6.3 ,210 ,90 ,135 ,3225 ,7380 
32,W-YZB,WYZB0032,2009,WYZB01,10.0 ,14.3 ,6.5 ,1582.4 ,486.3 ,330.9 ,819.5 ,1938.3 ,small_spike,Paddy soils,clay,16.9 ,14.5 ,102.0 ,6.7 ,210 ,90 ,135 ,2400 ,7155 
33,W-YZB,WYZB0033,2009,WYZB01,9.9 ,14.1 ,6.5 ,2165.3 ,665.6 ,473.5 ,1070.5 ,2449.4 ,small_spike,Paddy soils,clay,19.7 ,16.5 ,112.0 ,5.6 ,210 ,90 ,135 ,3240 ,7665 
34,W-YZB,WYZB0034,2009,WYZB01,9.9 ,14.1 ,6.5 ,2165.3 ,665.6 ,473.5 ,1070.5 ,2449.4 ,small_spike,Paddy soils,clay,19.2 ,17.7 ,114.0 ,7.1 ,210 ,90 ,135 ,2565 ,7170 
35,W-YZB,WYZB0035,2009,WYZB01,9.9 ,14.1 ,6.5 ,2165.3 ,665.6 ,473.5 ,1070.5 ,2449.4 ,small_spike,Paddy soils,clay,18.4 ,12.5 ,63.0 ,6.6 ,210 ,90 ,135 ,2505 ,7125 
36,W-YZB,WYZB0036,2009,WYZB01,9.9 ,14.1 ,6.6 ,2190.0 ,680.3 ,473.5 ,1078.9 ,2470.3 ,small_spike,Paddy soils,clay,18.2 ,22.0 ,96.0 ,7.1 ,210 ,90 ,135 ,2535 ,7005 
37,W-YZB,WYZB0037,2009,WYZB01,9.0 ,13.2 ,5.7 ,1825.8 ,486.1 ,444.7 ,977.5 ,2200.7 ,small_spike,Paddy soils,clay,17.4 ,21.0 ,94.0 ,6.2 ,210 ,90 ,135 ,2355 ,6330 
38,W-YZB,WYZB0038,2009,WYZB01,9.2 ,13.4 ,5.9 ,1907.1 ,527.4 ,444.7 ,1003.7 ,2245.9 ,medium_spike,Paddy soils,clay,19.9 ,17.2 ,113.0 ,7.3 ,210 ,90 ,135 ,2430 ,6630 
39,W-YZB,WYZB0039,2008,WYZB01,12.2 ,16.7 ,8.5 ,2798.0 ,971.4 ,278.3 ,1229.0 ,2734.0 ,small_spike,Lime concretion fluvo-aquic soils,clay loam,13.7 ,11.5 ,126.0 ,5.9 ,210 ,75 ,60 ,3570 ,7605 
40,W-YZB,WYZB0040,2009,WYZB01,11.1 ,15.3 ,7.7 ,2691.2 ,951.5 ,553.8 ,1221.0 ,2832.2 ,small_spike,Lime concretion fluvo-aquic soils,clay loam,19.9 ,12.1 ,122.0 ,6.4 ,225 ,90 ,75 ,3540 ,7530 
41,W-YZB,WYZB0041,2009,WYZB01,11.1 ,15.4 ,7.7 ,2708.0 ,968.3 ,553.5 ,1228.8 ,2856.9 ,small_spike,Lime concretion fluvo-aquic soils,clay loam,25.6 ,25.8 ,67.0 ,5.6 ,225 ,90 ,75 ,3615 ,7020 
42,W-YZB,WYZB0042,2008,WYZB01,12.2 ,16.7 ,8.5 ,2820.8 ,984.2 ,278.3 ,1237.9 ,2750.1 ,small_spike,Lime concretion fluvo-aquic soils,clay loam,11.7 ,4.8 ,86.0 ,5.5 ,210 ,75 ,60 ,3570 ,7605 
43,W-YZB,WYZB0043,2008,WYZB01,12.2 ,16.8 ,8.6 ,2828.9 ,992.3 ,278.3 ,1236.6 ,2758.4 ,small_spike,Fluvo-aquic soils,sandy loam,12.4 ,9.6 ,81.0 ,6.6 ,225 ,75 ,75 ,3015 ,6750 
44,W-YZB,WYZB0044,2009,WYZB01,12.2 ,16.4 ,8.8 ,3193.8 ,1264.1 ,554.3 ,1341.1 ,3154.7 ,small_spike,Paddy soils,silty clay loam,23.4 ,18.2 ,88.0 ,6.1 ,225 ,90 ,75 ,3060 ,6795 
45,W-YZB,WYZB0045,2007,WYZB01,11.7 ,16.0 ,8.2 ,2693.2 ,965.0 ,455.1 ,1233.7 ,2795.2 ,medium_spike,Paddy soils,clay loam,16.9 ,19.9 ,121.0 ,5.9 ,225 ,75 ,98 ,3075 ,6975 
46,W-YZB,WYZB0046,2008,WYZB01,12.2 ,16.7 ,8.5 ,2798.0 ,971.4 ,278.3 ,1229.0 ,2734.0 ,small_spike,Lime concretion fluvo-aquic soils,clay loam,18.8 ,20.4 ,131.0 ,6.4 ,225 ,75 ,75 ,3243 ,6282 
47,W-YZB,WYZB0047,2008,WYZB01,12.2 ,16.7 ,8.5 ,2802.1 ,975.5 ,278.3 ,1226.4 ,2734.5 ,small_spike,Paddy soils,clay loam,22.1 ,20.4 ,132.0 ,6.5 ,225 ,75 ,75 ,3255 ,6900 
48,W-YZB,WYZB0048,2009,WYZB01,10.7 ,14.9 ,7.3 ,2515.3 ,855.6 ,481.8 ,1183.6 ,2715.2 ,small_spike,Paddy soils,clay loam,22.5 ,15.8 ,138.0 ,6.4 ,225 ,90 ,75 ,3126 ,7280 
49,W-YZB,WYZB0049,2008,WYZB01,12.2 ,16.7 ,8.5 ,2798.0 ,971.4 ,278.3 ,1229.0 ,2734.0 ,small_spike,Paddy soils,clay loam,28.0 ,21.3 ,60.0 ,5.1 ,210 ,75 ,60 ,2445 ,7301 
50,W-YZB,WYZB0050,2009,WYZB01,10.9 ,15.2 ,7.5 ,2613.7 ,914.0 ,551.7 ,1207.6 ,2793.0 ,small_spike,Paddy soils,clay loam,27.2 ,18.7 ,135.0 ,5.8 ,225 ,90 ,75 ,3240 ,7380 
