Sort,Crop,NO,Year,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
169,SR-YZB,SRYZB0169,2007,early_maturity,28,33.5,24.1,3384.6,2174.6,592.5,617.6,1827.3,Paddy soils,silty clay loam,16.7,35.1,49,5.3,165,75,120,6900
170,SR-YZB,SRYZB0170,2008,early_maturity,28,33.6,24.1,3587.7,2307.7,680.6,753.3,2081.1,Paddy soils,loam,41.6,13.7,101,5.3,165,75,120,8460
171,SR-YZB,SRYZB0171,2007,early_maturity,28,33.5,24.1,3334.6,2144.6,578,615.4,1809.1,Paddy soils,clay loam,40.1,8.1,60,5.2,165,75,120,7365
172,SR-YZB,SRYZB0172,2008,early_maturity,27.9,33.4,24.1,3629.1,2329.1,658.1,751,2070.5,Paddy soils,loam,45.6,26.8,71,5.1,165,75,120,7530
173,SR-YZB,SRYZB0173,2007,early_maturity,28,33.5,24.1,3334.6,2144.6,578,615.4,1809.1,Paddy soils,silty clay loam,26.3,39.8,103,5.1,165,75,120,7365
174,SR-YZB,SRYZB0174,2007,early_maturity,27.9,33.4,24.1,3407.5,2187.5,636.9,595.8,1818.3,Paddy soils,silty clay loam,33,32.8,103,5,165,75,120,8955
175,SR-YZB,SRYZB0175,2007,early_maturity,28,33.5,24.1,3334.6,2144.6,578,615.4,1809.1,Paddy soils,silty clay loam,33,11.5,108,5,165,75,120,8460
176,SR-YZB,SRYZB0176,2007,early_maturity,28,33.5,24.1,3334.6,2144.6,578,615.4,1809.1,Paddy soils,loam,30.6,30.5,73,4.9,165,75,120,7860
177,SR-YZB,SRYZB0177,2007,early_maturity,28,33.5,24.1,3334.6,2144.6,578,615.4,1809.1,Paddy soils,silty clay loam,33.7,14.1,43,5,165,75,120,6990
178,SR-YZB,SRYZB0178,2008,early_maturity,28.1,33.7,24.3,3488.7,2248.7,671.2,726.8,2006.2,Paddy soils,clay loam,30.5,32.3,41,4.9,165,75,120,7110
179,SR-YZB,SRYZB0179,2007,early_maturity,27.9,33.5,24.1,3542.6,2272.6,653.2,635.1,1908.2,Paddy soils,silty clay loam,28.2,21.3,107,5.4,165,75,120,7965
180,SR-YZB,SRYZB0180,2007,medium_maturity,26.6,31.9,23,3057.8,1907.8,741.7,674.4,1892.9,Red earths,silty clay loam,30.5,19.9,47,5.2,150,75,120,9857
181,SR-YZB,SRYZB0181,2008,early_maturity,27.3,33.4,23.4,2973.3,1883.3,422.9,714.9,1872.9,Paddy soils,silty clay loam,23.8,6.3,46,6.3,180,90,126,8835
182,SR-YZB,SRYZB0182,2008,early_maturity,26.8,32.9,22.9,2917.6,1827.6,352.8,701.2,1816.3,Paddy soils,silty clay loam,24.2,14,76,6,180,90,126,8970
183,SR-YZB,SRYZB0183,2008,early_maturity,27.7,34,23.8,2856.6,1826.6,387.4,705.5,1839.1,Paddy soils,silty clay loam,24.3,10.2,86,6.3,180,90,126,8625
184,SR-YZB,SRYZB0184,2008,medium_maturity,27.3,33.4,23.4,3169.8,2009.8,475.3,748.3,1988.9,Paddy soils,silty clay loam,22.9,38,37,6,180,90,126,9750
185,SR-YZB,SRYZB0185,2008,medium_maturity,26.9,33,23,3201.7,2011.7,457,767.3,2004.1,Paddy soils,silty clay loam,21.2,8.4,56,6.1,180,90,126,9420
186,SR-YZB,SRYZB0186,2007,medium_maturity,26.5,32.5,22.6,2811.8,1751.8,597.1,641.7,1774.5,Paddy soils,loam,54,20.3,109,5,120,75,120,6470
187,SR-YZB,SRYZB0187,2008,medium_maturity,26.4,32.3,22.5,3114.3,1934.3,598.3,761.8,2001.1,Paddy soils,loam,23,38,47,5,150,60,90,9945
188,SR-YZB,SRYZB0188,2008,early_maturity,27,32.8,23,3209.4,2019.4,531.8,713,1937.6,Paddy soils,clay loam,51.8,3.2,153,5.2,180,75,120,8070
189,SR-YZB,SRYZB0189,2008,early_maturity,27.5,33.5,23.5,2940.8,1870.8,489.5,663.9,1799.2,Paddy soils,clay loam,32.5,4.8,84,4.8,180,75,120,8160
190,SR-YZB,SRYZB0190,2008,medium_maturity,27.5,33.6,23.5,2919,1859,428,680.8,1813.7,Paddy soils,clay loam,28.3,15.2,36,5,180,75,120,8415
191,SR-YZB,SRYZB0191,2008,early_maturity,27.5,33.5,23.5,2919.7,1859.7,459.8,671.3,1801.2,Paddy soils,clay loam,47.8,25.3,93,4.9,180,75,120,8445
192,SR-YZB,SRYZB0192,2008,medium_maturity,27,33,23,3161.8,1991.8,468,721.8,1933.4,Paddy soils,silty clay loam,16.3,5.2,70,5.2,180,75,120,8280
193,SR-YZB,SRYZB0193,2008,medium_maturity,26.9,32.8,23,3231.9,2031.9,531.8,721.8,1955.4,Paddy soils,sandy loam,17.7,4.4,34,5.3,180,75,120,8655
194,SR-YZB,SRYZB0194,2008,medium_maturity,27,33,23.1,3163.4,1993.4,499.8,713,1922.9,Paddy soils,sandy loam,35.7,69.3,122,5.3,180,75,120,8475
195,SR-YZB,SRYZB0195,2008,medium_maturity,27.1,32.9,23.1,3165.1,1995.1,522.5,705.1,1913.6,Paddy soils,silty clay loam,60.2,7.1,94,4.8,180,75,120,8160
196,SR-YZB,SRYZB0196,2008,medium_maturity,27.1,33,23.1,3139.3,1979.3,468,713,1915.5,Paddy soils,silty clay loam,60.2,7.1,94,4.8,180,75,120,8325
197,SR-YZB,SRYZB0197,2008,medium_maturity,27.5,33.2,23.8,2777.6,1767.6,600,580.8,1624.9,Paddy soils,silty clay loam,35.4,27.4,174,4.6,180,75,120,10560
198,SR-YZB,SRYZB0198,2008,medium_maturity,27.2,32.8,23.6,3051.9,1931.9,767.1,621.1,1760.2,Paddy soils,loam,67.5,3.3,68,4.6,180,75,120,8550
199,SR-YZB,SRYZB0199,2008,medium_maturity,27.4,33,23.7,2929.9,1859.9,702.1,608.8,1706.8,Paddy soils,silty clay loam,46.9,26.8,117,5.2,180,75,120,9000
200,SR-YZB,SRYZB0200,2008,medium_maturity,27,32.5,23.4,3292,2072,823.9,657.4,1893.1,Paddy soils,silty clay loam,29.8,30.9,69,4.5,180,75,120,8130
201,SR-YZB,SRYZB0201,2008,early_maturity,26.9,32.4,23.4,3206.1,2016.1,820.9,616,1822.3,Paddy soils,loam,51.4,64.6,187,5,180,75,120,9399
202,SR-YZB,SRYZB0202,2008,late_maturity,26.8,32.4,23.2,3243.3,2033.3,750.7,677.1,1879.4,Paddy soils,silty clay loam,25.3,7.8,107,4.6,180,75,120,10250
203,SR-YZB,SRYZB0203,2008,medium_maturity,27.2,32.7,23.6,3075.1,1945.1,767.1,625.7,1772.6,Paddy soils,silty clay loam,24.5,10.2,98,4.8,180,75,120,9648
204,SR-YZB,SRYZB0204,2008,medium_maturity,26.9,32.4,23.4,3230.5,2030.5,863.6,646.7,1841.7,Paddy soils,silty clay loam,36.4,10.2,118,4.6,180,75,120,10625
205,SR-YZB,SRYZB0205,2008,medium_maturity,27,32.6,23.3,3075.6,1935.6,691.9,658.8,1806.1,Paddy soils,loam,22.2,7.4,68,5.4,180,75,120,9684
206,SR-YZB,SRYZB0206,2008,medium_maturity,27.4,33,23.7,2817.7,1787.7,711.9,573.7,1633,Paddy soils,sandy loam,28,25.1,146,5.1,180,75,120,8780
207,SR-YZB,SRYZB0207,2008,early_maturity,25.5,31.5,21.5,2703.2,1643.2,481.7,639.7,1701.9,Paddy soils,silty clay loam,32.8,18.4,105,4.9,119,33,83,8505
208,SR-YZB,SRYZB0208,2008,medium_maturity,25.4,31.5,21.3,2689.7,1629.7,457.7,644.3,1691.8,Paddy soils,sandy loam,24.3,51.8,69,4.9,119,33,83,8550
209,SR-YZB,SRYZB0209,2008,early_maturity,25.2,31.2,21.2,2824,1704,482.6,664,1760,Paddy soils,silty clay loam,26.3,25,100,4.7,165,33,125,9600
210,SR-YZB,SRYZB0210,2008,early_maturity,25.4,31.5,21.3,2640.8,1600.8,417.3,636.8,1665,Paddy soils,clay,29.8,11.8,52,4.5,119,33,83,8550
211,SR-YZB,SRYZB0211,2008,medium_maturity,25.6,31.7,21.4,2481,1511,402.3,599.4,1574.8,Paddy soils,silty clay loam,28.3,7.8,87,4.9,150,47,129,7655
212,SR-YZB,SRYZB0212,2008,medium_maturity,25.6,31.7,21.6,2743.9,1673.9,488.9,672.9,1771.3,Paddy soils,silty clay loam,25.6,22.5,25,4.8,165,33,125,7980
213,SR-YZB,SRYZB0213,2008,medium_maturity,25.6,31.7,21.6,2743.9,1673.9,488.9,672.9,1771.3,Paddy soils,silty clay loam,25.6,22.5,25,4.8,165,33,125,9009
214,SR-YZB,SRYZB0214,2008,medium_maturity,25.7,31.7,21.6,2671.2,1631.2,479.7,650.1,1715.6,Paddy soils,sandy loam,24.6,31.6,51,4.7,170,51,119,8658
215,SR-YZB,SRYZB0215,2008,medium_maturity,24.7,30.6,20.8,3116.2,1856.2,526.6,715.5,1906.7,Paddy soils,silty clay loam,25.6,39.2,115,4.7,150,30,113,8229
216,SR-YZB,SRYZB0216,2008,medium_maturity,24.2,30,20.3,2345.1,1375.1,298.5,526.6,1392.5,Paddy soils,loam,22.6,33.5,71,4.8,150,30,113,8187
217,SR-YZB,SRYZB0217,2008,early_maturity,25.4,31.5,21.4,2643.6,1603.6,457.7,628.1,1659.6,Paddy soils,silty clay loam,24.2,28.6,47,4.7,162,27,68,7134
218,SR-YZB,SRYZB0218,2008,medium_maturity,25.6,31.7,21.5,2483.7,1513.7,415.3,597.6,1575.2,Paddy soils,loam,27.2,21.4,48,4.9,147,47,130,8775
219,SR-YZB,SRYZB0219,2007,medium_maturity,27.6,33.6,23.6,3087.7,1967.7,536.3,599,1740.9,Paddy soils,silty clay loam,39,9.4,32,5,165,60,105,6831
