Sort,Crop,NO,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1365,W-NCP,WNCP1365,2009,7.9,12.9,3.9,2147.7,825.3,82.6,1538.3,3100.3,small_spike,Fluvo-aquic soils,loam,12.7,59.9,150,7.3,210,105,90,7386
1366,W-NCP,WNCP1366,2009,7.9,12.9,3.9,2147.7,825.3,82.6,1538.3,3100.3,small_spike,Fluvo-aquic soils,sandy loam,16.2,45.2,220,7.7,210,105,90,8288
1367,W-NCP,WNCP1367,2009,9.9,15.6,5.2,2559.7,971.5,148.9,1691.3,3291.7,small_spike,Fluvo-aquic soils,loam,7.4,18,54,7.4,225,105,105,5946
1368,W-NCP,WNCP1368,2008,9.9,15.6,5.2,2559.7,971.5,148.9,1691.3,3291.7,small_spike,Fluvo-aquic soils,sandy loam,20,27.4,120,7.3,225,105,105,8730
1369,W-NCP,WNCP1369,2009,9.9,15.6,5.2,2559.7,971.5,148.9,1691.3,3291.7,small_spike,Fluvo-aquic soils,loam,9.8,26,95,7.2,225,105,105,8888
1370,W-NCP,WNCP1370,2008,9.9,15.6,5.2,2559.7,971.5,148.9,1691.3,3291.7,small_spike,Fluvo-aquic soils,loam,20.6,13.3,140,7.3,225,105,105,8790
1371,W-NCP,WNCP1371,2008,8.7,14.7,3.7,2187.8,764.1,216.1,1718.8,3244.4,small_spike,Fluvo-aquic soils,loam,17.4,12,149,7.3,210,120,90,7491
1372,W-NCP,WNCP1372,2008,7.5,14.4,1.5,2110.6,760.3,170.8,1522.6,2951,small_spike,Fluvo-aquic soils,loam,14.3,30.6,150,7.3,210,120,90,8544
1373,W-NCP,WNCP1373,2008,9,15.1,4,2329,825.3,216.1,1785.8,3360.2,small_spike,Fluvo-aquic soils,loam,14.1,28.5,130,7.2,210,120,90,7568
1374,W-NCP,WNCP1374,2008,9,15.1,4,2329,825.3,216.1,1785.8,3360.2,small_spike,Fluvo-aquic soils,loam,14.3,10.8,130,7.4,210,120,90,7895
1375,W-NCP,WNCP1375,2009,7.4,12.8,2.7,2011,724.5,91.9,1426.5,2886.8,small_spike,Fluvo-aquic soils,loam,13,33.5,89,8.3,210,120,90,6890
1376,W-NCP,WNCP1376,2009,7.4,12.8,2.7,2011,724.5,91.9,1426.5,2886.8,small_spike,Fluvo-aquic soils,loam,11,30.5,109,8.3,210,120,90,7839
1377,W-NCP,WNCP1377,2008,8.5,14.7,3.3,2198.7,776.4,211.7,1671.7,3164.7,small_spike,Fluvo-aquic soils,loam,14.4,14.6,85,8.2,225,120,90,7079
1378,W-NCP,WNCP1378,2008,8.5,14.7,3.3,2198.7,776.4,211.7,1671.7,3164.7,small_spike,Fluvo-aquic soils,loam,14.9,25.3,130,8.2,210,120,90,7320
1379,W-NCP,WNCP1379,2009,6.6,12.2,1.9,1862.2,655,93.4,1561,3040.4,small_spike,Fluvo-aquic soils,loam,15.2,22.4,79,8,210,120,90,7320
1380,W-NCP,WNCP1380,2007,8.1,14,3.2,2126.3,698,175.9,1606.5,3103.2,small_spike,Fluvo-aquic soils,loam,12,6.9,79,8.2,225,120,90,7220
1381,W-NCP,WNCP1381,2007,8.1,14,3.2,2126.3,698,175.9,1606.5,3103.2,small_spike,Fluvo-aquic soils,loam,16,45.6,95,8.3,225,120,90,7176
1382,W-NCP,WNCP1382,2008,8.5,14.7,3.3,2198.7,776.4,211.7,1671.7,3164.7,small_spike,Fluvo-aquic soils,loam,9.7,30.3,86,8.3,195,120,75,5247
1383,W-NCP,WNCP1383,2008,8.5,14.7,3.3,2198.7,776.4,211.7,1671.7,3164.7,small_spike,Fluvo-aquic soils,loam,17.4,15.3,143,8,225,120,90,7982
1384,W-NCP,WNCP1384,2009,7.2,12.6,2.8,1927.5,717.8,97.7,1738,3342.3,small_spike,Fluvo-aquic soils,clay,11.7,15.7,86,7.3,165,135,75,6215
1385,W-NCP,WNCP1385,2009,7.3,12.7,2.9,1954.8,735.1,106.9,1738,3349.8,small_spike,Fluvo-aquic soils,loam,15.5,23.6,120,8.1,195,180,105,6965
1386,W-NCP,WNCP1386,2008,9,15.2,3.8,2401.8,839.8,167.9,1794,3428.5,small_spike,Fluvo-aquic soils,loam,13.1,21.7,224,8.4,195,180,105,8540
1387,W-NCP,WNCP1387,2008,8.8,15,3.6,2318.2,796.2,165.2,1768.1,3363.3,small_spike,Fluvo-aquic soils,loam,9.2,19,68,7.5,135,120,60,7070
1388,W-NCP,WNCP1388,2008,8.6,14.8,3.4,2189.4,767.4,165.4,1714.3,3285.1,small_spike,Fluvo-aquic soils,loam,11.8,12.6,87,7.1,165,135,75,7359
1389,W-NCP,WNCP1389,2008,8.9,15.1,3.6,2292,820,165.4,1750.5,3356,small_spike,Fluvo-aquic soils,loam,15.4,20.6,139,7.3,195,180,105,8586
1390,W-NCP,WNCP1390,2008,8.5,14.7,3.3,2164.7,742.7,165.2,1699.9,3244.1,small_spike,Fluvo-aquic soils,loam,7.7,12.3,121,7.6,165,135,75,7952
1391,W-NCP,WNCP1391,2005,7.4,13.7,2.3,2047.8,634,168.8,1531.9,3002.9,small_spike,Fluvo-aquic soils,loam,10.8,30.5,178,7.1,113,90,60,6899
1392,W-NCP,WNCP1392,2005,6.9,13.2,1.8,1859,545.2,156.2,1451.6,2840,small_spike,Fluvo-aquic soils,loam,8.3,74.1,182,7.5,113,90,60,6704
1393,W-NCP,WNCP1393,2009,6.2,12,1.3,1796.5,602.4,99.6,1524.2,2995.9,small_spike,Solonchaks,loam,10.3,11.6,77,7.1,254,120,78,5984
1394,W-NCP,WNCP1394,2005,7.1,13.3,2,1902.4,578.6,156.2,1458.2,2870.1,small_spike,Fluvo-aquic soils,loam,9.3,30.9,147,7.4,113,90,60,6119
1395,W-NCP,WNCP1395,2006,8.8,15.1,3.8,2359.3,841.1,151,1529,3068,small_spike,Fluvo-aquic soils,sandy loam,9.4,13.6,72,7.5,210,120,60,4073
1396,W-NCP,WNCP1396,2006,8.4,14.7,3.5,2201.6,753.4,151,1480.2,2961.8,small_spike,Fluvo-aquic soils,loam,11.1,14.6,71,7.3,210,120,60,6675
1397,W-NCP,WNCP1397,2005,7.3,13.6,2.2,2006,612.2,168.8,1519,2971,small_spike,Fluvo-aquic soils,loam,8.1,30.6,154,7.5,113,90,60,4311
1398,W-NCP,WNCP1398,2005,7.4,13.7,2.3,2032.7,628.9,168.8,1529.8,2995.4,small_spike,Fluvo-aquic soils,loam,8.7,24.7,115,7.2,113,90,60,3804
1399,W-NCP,WNCP1399,2006,8.3,14.5,3.3,2149,720.8,151,1463.6,2920.8,small_spike,Fluvo-aquic soils,clay,11.3,22.9,75,7.5,210,120,60,4604
1400,W-NCP,WNCP1400,2007,7.6,13.7,2.5,2062.1,638.3,148.1,1420.5,2892.4,small_spike,Fluvo-aquic soils,loam,10.3,21.8,159,7.1,225,120,60,4115
1401,W-NCP,WNCP1401,2005,6.7,13,1.7,1784.3,520.5,156,1424.2,2784.9,small_spike,Fluvo-aquic soils,loam,9.5,16.4,122,7.1,113,90,60,7101
1402,W-NCP,WNCP1402,2006,8.3,14.5,3.3,2149,720.8,151,1463.6,2920.8,small_spike,Fluvo-aquic soils,loam,7.9,26.9,95,7.4,210,120,60,7050
1403,W-NCP,WNCP1403,2006,8.4,14.6,3.4,2174.8,736.6,151,1471.5,2940.7,small_spike,Solonchaks,loam,10.9,7.3,83,7.5,210,120,60,6834
1404,W-NCP,WNCP1404,2006,8.5,14.8,3.5,2229.9,771.7,151,1486.8,2979.7,small_spike,Fluvo-aquic soils,loam,12.1,21.3,79,7.4,210,120,60,6638
1405,W-NCP,WNCP1405,2007,7.4,13.5,2.3,2000.2,606.4,138.6,1401.8,2840.5,small_spike,Fluvo-aquic soils,loam,10.3,18.5,100,7.2,225,120,60,7020
1406,W-NCP,WNCP1406,2007,7.4,13.5,2.3,2000.2,606.4,138.6,1401.8,2840.5,small_spike,Fluvo-aquic soils,loam,9.2,21.6,144,7.2,225,120,60,5870
1407,W-NCP,WNCP1407,2009,6.1,11.8,1.2,1751,576.9,99.6,1507.1,2954.1,small_spike,Fluvo-aquic soils,loam,11.2,10,96,7.1,254,120,78,7185
1408,W-NCP,WNCP1408,2006,8.4,14.7,3.5,2201.6,753.4,151,1480.2,2961.8,small_spike,Solonchaks,loam,9.9,7.4,190,7.5,210,120,60,6908
1409,W-NCP,WNCP1409,2006,8.5,14.8,3.5,2229.9,771.7,151,1486.8,2979.7,small_spike,Fluvo-aquic soils,loam,11.2,11.4,80,7.3,210,120,60,6710
1410,W-NCP,WNCP1410,2007,7.4,13.5,2.3,1999.4,605.6,142.4,1394.8,2826.7,small_spike,Fluvo-aquic soils,loam,11,19.5,86,7.2,225,120,60,6950
