Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1470,M-NCP,MNCP1470,2007,MNCP03,medium_maturity,24.5,29.5,20.5,2523.6,1493.6,514.8,535.8,1528.8,Cinnamon soils,loam,28,28.2,125,6.9,240,90,150,9545
1471,M-NCP,MNCP1471,2006,MNCP03,medium_maturity,24.8,29.7,20.5,2799.6,1669.6,431.1,725.6,1883.6,Cinnamon soils,loam,12.9,74,96,6.2,210,75,90,7814
1472,M-NCP,MNCP1472,2007,MNCP03,medium_maturity,25,29.6,20.9,2520.6,1510.6,642,544,1579.4,Cinnamon soils,sandy clay loam,19,75.5,167,6.5,180,120,75,9905
1473,M-NCP,MNCP1473,2008,MNCP03,medium_maturity,24.3,28.9,20.4,2432.1,1432.1,374.3,493,1492.3,Cinnamon soils,silt loam,16.2,51.4,162,6.9,195,60,90,9334
1474,M-NCP,MNCP1474,2006,MNCP03,medium_maturity,24.8,29.7,20.5,2799.6,1669.6,431.1,725.6,1883.6,Cinnamon soils,loamy sand,12.7,54.3,144,6.5,210,75,90,8555
1475,M-NCP,MNCP1475,2006,MNCP03,medium_maturity,24.8,29.7,20.6,2679.9,1599.9,431.1,675.7,1776,Cinnamon soils,loam,14.7,48.8,140,6.5,180,120,75,7630
1476,M-NCP,MNCP1476,2007,MNCP03,medium_maturity,24.3,29,20.4,2650.1,1560.1,643.4,592.8,1645.2,Cinnamon soils,loamy sand,14.9,47.8,174,6.5,180,120,75,8670
1477,M-NCP,MNCP1477,2008,MNCP03,medium_maturity,24,28.6,20,2755.3,1605.3,468.9,568.3,1656,Cinnamon soils,loamy sand,19,44.4,102,6.6,195,60,90,7197
1478,M-NCP,MNCP1478,2006,MNCP03,medium_maturity,24.6,29.5,20.5,2897.6,1717.6,425,600.1,1723.4,Brown earths,loam,14.1,24.3,110,6.6,210,75,90,7560
1479,M-NCP,MNCP1479,2007,MNCP03,medium_maturity,23.8,28.4,20.2,2827.4,1637.4,508,634.8,1776.9,Brown earths,loam,13.7,39.6,101,7.3,195,60,105,8445
1480,M-NCP,MNCP1480,2006,MNCP03,medium_maturity,24.6,29.5,20.5,2897.6,1717.6,425,600.1,1723.4,Brown earths,loam,12.9,19.3,112,6.6,210,75,90,7230
1481,M-NCP,MNCP1481,2007,MNCP03,medium_maturity,23.8,28.4,20.2,2827.4,1637.4,508,634.8,1776.9,Brown earths,loam,13.2,33.2,104,6.9,195,60,105,7128
1482,M-NCP,MNCP1482,2007,MNCP03,medium_maturity,23.8,28.4,20.2,2827.4,1637.4,508,634.8,1776.9,Cinnamon soils,loamy sand,13.9,14.9,96,6.8,195,60,105,7485
1483,M-NCP,MNCP1483,2007,MNCP03,medium_maturity,23.8,28.4,20.2,2827.4,1637.4,508,634.8,1776.9,Cinnamon soils,loam,14.6,22.6,120,7.2,195,60,105,6570
1484,M-NCP,MNCP1484,2005,MNCP03,medium_maturity,24.6,29.5,20.5,2897.6,1717.6,425,600.1,1723.4,Cinnamon soils,loam,16.5,65.3,114,7,210,75,90,6915
1485,M-NCP,MNCP1485,2007,MNCP03,medium_maturity,23.8,28.4,20.2,2827.4,1637.4,508,634.8,1776.9,Lime concretion fluvo-aquic soils,clay loam,19.5,19.7,98,7,195,60,105,6225
