Sort,Crop,N0,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
73,M-NCP,MNCP0073,2006,MNCP01,WS0030,25.12 ,30.76 ,20.61 ,2688.1,1618.1,208.5,684.2,1748.12,Cinnamon soils,loam,20.8,34,60,8,180,150,120,8306
74,M-NCP,MNCP0074,2006,MNCP01,WS0030,25.14 ,30.81 ,20.56 ,2690.3,1620.3,209.3,694.3,1766.95,Fluvo-aquic soils,loam,20.4,38.4,123,8.1,225,60,150,7889
75,M-NCP,MNCP0075,2006,MNCP01,WS0030,25.15 ,30.82 ,20.56 ,2715.7,1635.7,209.3,703.3,1788.58,Cinnamon soils,loamy sand,15.6,18,120,8,180,150,120,7917
76,M-NCP,MNCP0076,2006,MNCP01,WS0030,25.16 ,30.81 ,20.62 ,2666.6,1606.6,208.5,682,1740.13,Cinnamon soils,loamy sand,19.8,46.6,170,8,180,150,120,7856
77,M-NCP,MNCP0077,2006,MNCP01,WS0030,25.14 ,30.83 ,20.54 ,2740.7,1650.7,209.3,714.9,1814.29,Cinnamon soils,loam,17.2,47,140,8.1,225,60,150,7955
78,M-NCP,MNCP0078,2006,MNCP01,WS0030,25.14 ,30.81 ,20.56 ,2690.3,1620.3,209.3,694.3,1766.95,Cinnamon soils,loam,22.3,40.4,110,8,225,60,150,8186
79,M-NCP,MNCP0079,2006,MNCP01,WS0030,25.16 ,30.81 ,20.62 ,2666.6,1606.6,208.5,682,1740.13,Cinnamon soils,sandy loam,20.8,41,90,7.9,180,150,120,7905
80,M-NCP,MNCP0080,2007,MNCP01,WS0030,25.29 ,30.73 ,20.75 ,2630.3,1590.3,361.4,557,1535.12,Cinnamon soils,loam,20.4,38.4,123,8.1,180,150,120,8145
81,M-NCP,MNCP0081,2007,MNCP01,WS0030,25.37 ,30.86 ,20.76 ,2714.1,1644.1,361.4,576.3,1587.95,Cinnamon soils,loamy sand,14.7,15.2,70,8.1,180,150,120,8000
82,M-NCP,MNCP0082,2007,MNCP01,WS0030,25.44 ,30.98 ,20.77 ,2773.1,1683.1,361.4,594.9,1632.15,Cinnamon soils,loam,16.2,17.9,82,8,180,150,120,9449
83,M-NCP,MNCP0083,2007,MNCP01,WS0030,25.44 ,30.98 ,20.77 ,2773.1,1683.1,361.4,594.9,1632.15,Cinnamon soils,loamy sand,21.8,38.7,110,8.3,225,60,150,7829
84,M-NCP,MNCP0084,2008,MNCP01,WS0030,25.02 ,30.22 ,20.67 ,2651.8,1591.8,537.1,656.2,1703.12,Cinnamon soils,loam,14.7,14.7,70,8.1,180,150,120,7937
