Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
92,ER-SC,ERSC0092,2010,ERSC02,WS0898,25.78 ,30.11 ,22.94 ,2165.7,1325.7,815.1,277,1060.88,Paddy soils,,23.7,22.4,67,5,167,36,135,6869
93,ER-SC,ERSC0093,2008,ERSC02,WS0898,24.42 ,28.86 ,21.68 ,2368.5,1398.5,1681.3,231.4,1073.82,Paddy soils,,33.1,15.1,120,5.2,167,36,135,7191
94,ER-SC,ERSC0094,2006,ERSC02,WS0893,24.71 ,28.88 ,21.85 ,2248.8,1338.8,811.6,365.9,1245.88,Paddy soils,,23.8,43.6,109,6.3,135,68,104,4625
95,ER-SC,ERSC0095,2007,ERSC02,WS0893,24.77 ,29.39 ,21.64 ,2254.1,1344.3,802,478.2,1432.16,Paddy soils,,34.7,41.8,169,5.1,165,60,150,5775
96,ER-SC,ERSC0096,2006,ERSC02,WS0893,24.71 ,28.88 ,21.85 ,2248.8,1338.8,811.6,365.9,1245.88,Paddy soils,,23.8,20.1,44,5.6,135,68,104,7134
97,ER-SC,ERSC0097,2007,ERSC02,WS0893,24.77 ,29.39 ,21.64 ,2254.1,1344.3,802,478.2,1432.16,Paddy soils,,23.9,20.6,45,5.6,165,60,150,6285
98,ER-SC,ERSC0098,2006,ERSC02,WS0893,24.71 ,28.88 ,21.85 ,2248.8,1338.8,811.6,365.9,1245.88,Paddy soils,,29.9,32.4,40,5.6,135,68,104,5625
99,ER-SC,ERSC0099,2007,ERSC02,WS0893,24.77 ,29.39 ,21.64 ,2254.1,1344.3,802,478.2,1432.16,Paddy soils,,29.9,32.7,41,5.6,165,60,150,7980
100,ER-SC,ERSC0100,2010,ERSC02,WS0893,26.57 ,30.54 ,23.67 ,2656.5,1656.5,1034.2,517.3,1569.75,Paddy soils,,31.4,7.1,68,5.2,146,42,117,6950
101,ER-SC,ERSC0101,2008,ERSC02,WS0893,27.43 ,31.98 ,24.44 ,2633.4,1673.4,1015.7,498.6,1509.52,Paddy soils,,43.3,29.4,97,5.2,125,36,117,8965
102,ER-SC,ERSC0102,2010,ERSC02,WS0893,28.11 ,32.41 ,25.15 ,2305.3,1485.3,648.6,554,1496.39,Paddy soils,,34.7,9.1,95,5.7,165,45,117,7867
103,ER-SC,ERSC0103,2008,ERSC02,WS0893,26.25 ,30.61 ,23.43 ,2336.6,1446.6,1038.4,372.4,1253.64,Paddy soils,,41.5,46,75,6.1,104,36,99,6650
104,ER-SC,ERSC0104,2008,ERSC02,WS0893,27.42 ,31.96 ,24.43 ,2686.9,1706.9,1015.7,510.6,1543.22,Paddy soils,,54.1,72.2,70,5.3,173,36,117,7620
105,ER-SC,ERSC0105,2006,ERSC02,WS0900,24.81 ,29.33 ,21.61 ,2604.8,1554.8,1167.2,332.454,1270.1,Paddy soils,,30.7,15.8,66,6.5,158,30,75,8973
106,ER-SC,ERSC0106,2007,ERSC02,WS0900,25.54 ,30.82 ,21.92 ,2528.3,1538.3,861.6,457.198,1409.11,Paddy soils,,44.5,7.1,114,5,158,30,75,9725
107,ER-SC,ERSC0107,2008,ERSC02,WS0900,25.15 ,29.87 ,21.99 ,2515.1,1515.1,735.1,430.2,1422.57,Paddy soils,,52.8,10.6,121,5.5,158,30,75,9056
108,ER-SC,ERSC0108,2008,ERSC02,WS0923,24.57 ,28.05 ,22.01 ,2826,1676,1636.9,496.7,1629.37,Paddy soils,,10,10,108,4.1,165,39,114,5020
109,ER-SC,ERSC0109,2007,ERSC02,WS0923,24.84 ,28.54 ,22.09 ,3204.8,1914.8,1219.8,789,2202.11,Paddy soils,,12.7,56.1,51,4.8,166,40,113,7455
110,ER-SC,ERSC0110,2006,ERSC02,WS0921,25.34 ,29.15 ,22.60 ,2863.8,1733.8,1378.8,396.1,1446.11,Paddy soils,,33,10.9,149,6.1,138,36,90,5880
111,ER-SC,ERSC0111,2007,ERSC02,WS0924,25.19 ,28.80 ,22.68 ,2569,1549,710.5,621.9,1748.09,Paddy soils,,30.6,46.1,55,5.2,221,27,113,7875
112,ER-SC,ERSC0112,2009,ERSC02,WS0938,25.77 ,30.07 ,22.78 ,2525.6,1545.6,709.7,593.7,1677.92,Paddy soils,,15.7,7.3,78,5.6,159,54,135,6135
113,ER-SC,ERSC0113,2008,ERSC02,WS0899,25.02 ,29.62 ,22.10 ,2501.9,1501.9,960.8,415.6,1397.94,Paddy soils,,40.6,36,122,5.2,155,54,135,6685
114,ER-SC,ERSC0114,2007,ERSC02,WS0899,24.86 ,30.24 ,21.48 ,2287.2,1367.2,901.6,483.3,1451.15,Paddy soils,,29.6,13.4,23,4.9,156,36,113,8664
115,ER-SC,ERSC0115,2008,ERSC02,WS0899,24.91 ,29.54 ,21.95 ,2565.8,1535.8,961.1,433.6,1445.73,Paddy soils,,28,16,112,5.2,157,54,135,8450
116,ER-SC,ERSC0116,2008,ERSC02,WS0899,24.83 ,29.41 ,21.87 ,2458,1468,917.1,407.4,1373.9,Paddy soils,,27.9,53.4,63,5.5,155,45,95,7842
117,ER-SC,ERSC0117,2006,ERSC02,WS0899,24.75 ,29.36 ,21.74 ,2474.9,1474.9,999.9,361.7,1303.38,Paddy soils,,19.8,5.4,31,5.8,156,36,113,6788
118,ER-SC,ERSC0118,2008,ERSC02,WS0945,25.93 ,29.44 ,23.45 ,2411.2,1481.2,588.2,523.2,1519.7,Paddy soils,,32.8,35.7,201,4.9,166,66,132,7400
119,ER-SC,ERSC0119,2007,ERSC02,WS0941,27.22 ,31.39 ,24.27 ,2531.8,1601.8,864.7,570.8,1604.02,Paddy soils,,42.2,23.6,85,5.4,165,60,135,5627
120,ER-SC,ERSC0120,2007,ERSC02,WS0941,27.72 ,31.97 ,24.70 ,2605.6,1665.6,886.3,619.1,1692.37,Paddy soils,,21.8,49.3,36,4.9,165,60,135,5888
121,ER-SC,ERSC0121,2006,ERSC02,WS0932,26.56 ,31.16 ,23.65 ,2683,1673,935.3,461.6,1479.13,Paddy soils,,32.6,61.7,33,5.5,150,45,105,8001
122,ER-SC,ERSC0122,2007,ERSC02,WS0932,26.59 ,31.49 ,23.35 ,2818.6,1758.6,701.9,652.5,1828.61,Paddy soils,,24,32.5,97,5.8,150,38,90,6870
123,ER-SC,ERSC0123,2008,ERSC02,WS0932,25.95 ,30.21 ,23.43 ,2699.2,1659.2,1439.8,359.3,1329.91,Paddy soils,,25.5,40.7,108,5.2,158,75,90,7397
124,ER-SC,ERSC0124,2008,ERSC02,WS0932,26.29 ,30.70 ,23.75 ,2760.6,1710.6,1530.1,409.9,1424.76,Paddy soils,,26.9,31,180,5.1,150,38,75,6132
125,ER-SC,ERSC0125,2008,ERSC02,WS0932,26.04 ,30.32 ,23.50 ,2655.6,1635.6,1416.6,358.5,1314.85,Paddy soils,,33.3,36.8,70,5.3,150,45,105,7074
126,ER-SC,ERSC0126,2008,ERSC02,WS0917,25.48 ,28.96 ,23.23 ,2446.1,1486.1,1383.1,287.3,1155.25,Paddy soils,,13.3,18.9,67,5,158,42,113,6855
127,ER-SC,ERSC0127,2008,ERSC02,WS0916,25.31 ,29.53 ,22.80 ,2024.4,1224.4,1037,246.6,975.65,Paddy soils,,45.6,58.2,149,4.5,158,45,135,7307
128,ER-SC,ERSC0128,2008,ERSC02,WS0916,25.28 ,29.51 ,22.79 ,1997.1,1207.1,1037,244.2,964.98,Paddy soils,,39.5,10.9,183,3.9,158,45,135,7308
129,ER-SC,ERSC0129,2008,ERSC02,WS0916,25.36 ,29.62 ,22.81 ,2053.9,1243.9,988,251.7,990.2,Paddy soils,,40,3.8,166,3.8,158,45,135,7220
130,ER-SC,ERSC0130,2008,ERSC02,WS0916,25.36 ,29.62 ,22.81 ,2053.9,1243.9,988,251.7,990.2,Paddy soils,,43.3,13,139,3.9,158,45,135,7274
131,ER-SC,ERSC0131,2008,ERSC02,WS0916,25.35 ,29.57 ,22.83 ,2104,1274,1074.3,251.9,1004.95,Paddy soils,,29.6,18.5,108,4,158,45,135,7293
132,ER-SC,ERSC0132,2008,ERSC02,WS0934,25.47 ,29.77 ,23.00 ,2343.1,1423.1,975.5,202.9,991.14,Paddy soils,,28.7,51.5,55,5.1,138,27,90,7046
133,ER-SC,ERSC0133,2008,ERSC02,WS0934,25.49 ,29.82 ,22.99 ,2497.7,1517.7,1000,225.9,1070.53,Paddy soils,,28.2,28,95,5,138,27,90,4490
134,ER-SC,ERSC0134,2007,ERSC02,WS0935,25.65 ,29.51 ,22.96 ,2616.7,1596.7,881.7,458.1,1477.01,Paddy soils,,35,7.9,65,6.1,150,36,113,6120
135,ER-SC,ERSC0135,2008,ERSC02,WS0935,25.05 ,28.40 ,22.84 ,2430.1,1460.1,1494.9,293.8,1169.7,Paddy soils,,35,7.9,65,6.1,150,36,113,5573
136,ER-SC,ERSC0136,2007,ERSC02,WS0944,27.01 ,30.13 ,24.79 ,2512.1,1582.1,737.8,621.2,1689.97,Paddy soils,,26.3,32.4,56,5.2,83,29,87,7337
