Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
SR-YZB,SRYZB0104,2007,安徽,Anhui,8658230,26.47563025,30.90756303,23.33445378,3150.6,1960.6,639.3,594.2,1724.09,水稻土,Paddy soils,silty clay loam,14.8,11.5,105,6.3,210,72,180,7957.5
SR-YZB,SRYZB0105,2008,安徽,Anhui,8658338,26.69646018,30.95929204,23.7539823,3016.7,1886.7,569.4,520.5,1595.12,水稻土,Paddy soils,loam,24.5,8.5,50,5.3,240,75,165,9879.9
SR-YZB,SRYZB0106,2008,安徽,Anhui,8658338,27.00970874,31.36601942,24.01359223,2782,1752,533.8,502.9,1498.79,水稻土,Paddy soils,clay loam,42,3.9,134,6.4,240,75,165,9508.5
SR-YZB,SRYZB0107,2006,安徽,Anhui,8658433,26.2511811,31.45826772,22.36614173,3333.9,2063.9,454,771.6,2054.98,水稻土,Paddy soils,silty clay loam,9.5,10.2,45,5.4,240,90,105,8884.5
SR-YZB,SRYZB0108,2007,安徽,Anhui,8658433,25.72148148,30.53111111,22.2237037,3472.4,2122.4,563.9,780.1,2098.2,水稻土,Paddy soils,silty clay loam,11.13,10.2,76,5.6,240,90,97.5,8439
SR-YZB,SRYZB0109,2007,安徽,Anhui,8658433,25.62740741,30.45481481,22.13111111,3459.7,2109.7,563.9,776.3,2086.83,水稻土,Paddy soils,silty clay loam,10.92,9.6,65,5.6,240,90,97.5,8406
SR-YZB,SRYZB0110,2008,安徽,Anhui,8658433,25.29776119,29.94925373,21.9619403,3389.9,2049.9,625,721,1995.84,水稻土,Paddy soils,clay loam,11.79,13.8,74,5.7,240,90,135,8418
SR-YZB,SRYZB0111,2008,安徽,Anhui,8658433,26.2745614,30.77280702,23.06315789,2995.3,1855.3,602.6,608.2,1734.03,水稻土,Paddy soils,loam,11.79,13.8,74,5.7,240,90,135,8379
SR-YZB,SRYZB0112,2009,安徽,Anhui,8658433,26.46363636,31.08429752,23.04628099,3202.1,1992.1,707.5,666.1,1860.66,水稻土,Paddy soils,loam,10.88,7.4,46,5.8,225,90,97.5,8137.5
SR-YZB,SRYZB0113,2010,安徽,Anhui,8658433,26.83565217,31.53391304,23.43913043,3086.1,1936.1,757.5,683.8,1857.43,水稻土,Paddy soils,loam,11.5,14.6,69,5.9,240,90,90,7983
SR-YZB,SRYZB0114,2008,安徽,Anhui,8658428,26.12910448,32.09776119,22.5738806,3501.3,2161.3,924.6,702.7,2039.47,水稻土,Paddy soils,clay loam,29.59,19.3,78,6,142.5,60,90,7353
SR-YZB,SRYZB0115,2008,安徽,Anhui,8658428,26.12910448,32.09776119,22.5738806,3501.3,2161.3,924.6,702.7,2039.47,水稻土,Paddy soils,loamy sand,22.5,26.9,42,5.7,180,72,150,7740
SR-YZB,SRYZB0116,2009,安徽,Anhui,8658428,25.74677419,32.06129032,21.67016129,3192.6,1952.6,720.4,672.4,1974.46,水稻土,Paddy soils,sandy loam,19.14,12.9,78,5.6,150,60,105,7453.5
SR-YZB,SRYZB0117,2009,安徽,Anhui,8658428,25.74677419,32.06129032,21.67016129,3192.6,1952.6,720.4,672.4,1974.46,水稻土,Paddy soils,sandy loam,17.17,13.6,79,5.6,150,60,105,7453.5
SR-YZB,SRYZB0118,2008,安徽,Anhui,8658428,26.12910448,32.09776119,22.5738806,3501.3,2161.3,924.6,702.7,2039.47,水稻土,Paddy soils,sandy loam,24.96,10.8,35,6.4,165,60,105,7905
SR-YZB,SRYZB0119,2008,安徽,Anhui,8658428,26.12910448,32.09776119,22.5738806,3501.3,2161.3,924.6,702.7,2039.47,水稻土,Paddy soils,silty clay loam,45.69,15.7,93,5.6,165,67.5,142.5,7362
SR-YZB,SRYZB0120,2009,安徽,Anhui,8658428,25.74677419,32.06129032,21.67016129,3192.6,1952.6,720.4,672.4,1974.46,水稻土,Paddy soils,silty clay loam,20.12,32.9,81,5.4,150,90,120,8073
