Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
55,M-SWC,MSWC0055,2007,MSWC01,WS0597,20.08 ,24.92 ,16.57 ,3354,1698.2,973.4,645.3,2221.01,Yellow earths,,25.3,17.8,156,6.5,210,135,210,7046
56,M-SWC,MSWC0056,2007,MSWC01,WS0597,20.11 ,24.98 ,16.58 ,3317.8,1682,967.2,645.3,2208.63,Limestone soils,,25.9,3.6,162,6.4,210,135,210,8362
57,M-SWC,MSWC0057,2007,MSWC01,WS0597,19.43 ,24.33 ,15.89 ,3594.8,1772.4,982.2,703.8,2422.23,Yellow earths,,19,30.6,122,5.6,210,135,210,10673
58,M-SWC,MSWC0058,2009,MSWC01,WS0559,19.00 ,23.36 ,16.23 ,2869.4,1359.5,662.3,702.5,2200.34,Yellow earths,,37.7,16.8,106,6.3,210,135,210,7667
59,M-SWC,MSWC0059,2009,MSWC01,WS0559,18.76 ,23.16 ,15.96 ,2907.7,1357.8,714,719.5,2258.92,Yellow earths,,15,12.2,104,6.6,210,135,210,9731
60,M-SWC,MSWC0060,2009,MSWC01,WS0559,18.98 ,23.33 ,16.21 ,2904.1,1374.2,674.8,709.9,2225.87,Yellow earths,,30.4,42.2,157,6.6,180,120,180,8073
61,M-SWC,MSWC0061,2009,MSWC01,WS0559,19.00 ,23.35 ,16.21 ,2868.6,1358.7,674.8,712.9,2219.57,Yellow earths,,26.5,7.6,130,6.4,180,120,180,7398
62,M-SWC,MSWC0062,2009,MSWC01,WS0559,18.96 ,23.34 ,16.17 ,2939.5,1389.6,689.7,727.2,2267.34,Yellow earths,,15.9,11,208,5.4,210,135,210,9011
63,M-SWC,MSWC0063,2009,MSWC01,WS0559,18.93 ,23.31 ,16.12 ,3028.2,1428.3,705.9,744.8,2322.83,Yellow earths,,32.3,32.5,110,6.4,180,120,180,7980
64,M-SWC,MSWC0064,2009,MSWC01,WS0559,18.85 ,23.30 ,15.99 ,3147.8,1477.9,721.7,781.1,2423.41,Yellow earths,,32.7,23.7,190,6.8,225,150,240,8663
65,M-SWC,MSWC0065,2009,MSWC01,WS0558,19.94 ,25.43 ,16.20 ,3290.8,1640.8,571.1,767.4,2390.14,Yellow earths,,42.7,11.9,84,5.6,180,120,180,5593
66,M-SWC,MSWC0066,2009,MSWC01,WS0558,20.05 ,25.48 ,16.34 ,3267.8,1637.8,569.2,744.6,2338.01,Yellow earths,,37.3,16.4,101,7.2,225,150,240,9104
67,M-SWC,MSWC0067,2009,MSWC01,WS0558,20.05 ,25.50 ,16.34 ,3228.6,1618.6,569.2,741.8,2322.12,Yellow earths,,41.2,14.8,172,7.8,210,135,210,8062
68,M-SWC,MSWC0068,2007,MSWC01,WS0558,18.83 ,24.59 ,15.05 ,3465.3,1649,768.4,735.2,2457.93,Yellow earths,,20.2,14,96,5.6,180,120,180,6368
69,M-SWC,MSWC0069,2007,MSWC01,WS0558,18.90 ,24.51 ,15.25 ,3269.2,1562.9,761.8,650.5,2262.67,Yellow earths,,20.5,17,72,6.1,210,135,210,6834
70,M-SWC,MSWC0070,2007,MSWC01,WS0558,19.12 ,24.78 ,15.40 ,3249.6,1560.3,759.1,674.7,2278.5,Yellow earths,,20.6,17,123,5.9,225,150,240,8234
71,M-SWC,MSWC0071,2009,MSWC01,WS0558,19.65 ,25.08 ,15.97 ,3419.5,1680.8,571.8,775,2458.81,Yellow earths,,24.7,19.4,162,6.1,210,135,210,10709
72,M-SWC,MSWC0072,2009,MSWC01,WS0558,19.68 ,25.09 ,16.00 ,3325.8,1637.1,571.7,754,2397.79,Yellow earths,,22.9,10.6,101,6.3,180,120,180,9407
73,M-SWC,MSWC0073,2009,MSWC01,WS0558,19.95 ,25.43 ,16.22 ,3271.8,1631.8,571.1,758.8,2371.27,Yellow earths,,24.6,27.7,149,6.6,225,150,240,10800
74,M-SWC,MSWC0074,2008,MSWC01,WS0558,19.17 ,24.96 ,15.44 ,3393.2,1623.9,823.1,720.8,2387.71,Yellow earths,,23.6,20,230,7.2,225,150,240,9644
75,M-SWC,MSWC0075,2008,MSWC01,WS0558,19.22 ,25.01 ,15.47 ,3324.9,1595.6,821.2,711,2348.66,Yellow earths,,21.6,20.5,110,4.9,180,120,180,7273
76,M-SWC,MSWC0076,2008,MSWC01,WS0558,19.19 ,24.92 ,15.54 ,3282.1,1572.8,822.9,688.7,2298.92,Yellow earths,,22.8,40.8,195,5.2,210,135,210,8978
77,M-SWC,MSWC0077,2007,MSWC01,WS0558,18.96 ,24.62 ,15.27 ,3299.2,1582.9,761.8,656.1,2279,Purplish soils,,20.5,18,165,5.9,225,150,240,8386
78,M-SWC,MSWC0078,2007,MSWC01,WS0558,18.95 ,24.59 ,15.25 ,3372.3,1611.4,766.8,707.2,2374.98,Purplish soils,,20,14,137,5.7,180,120,180,5333
79,M-SWC,MSWC0079,2007,MSWC01,WS0558,18.96 ,24.62 ,15.27 ,3299.2,1582.9,761.8,656.1,2279,Purplish soils,,21.3,16,145,5.9,210,135,210,6850
80,M-SWC,MSWC0080,2008,MSWC01,WS0558,19.20 ,24.95 ,15.50 ,3321.6,1592.3,822.9,702.9,2334.85,Yellow earths,,21.2,38.7,316,4.6,180,120,180,8568
81,M-SWC,MSWC0081,2008,MSWC01,WS0521,22.08 ,26.93 ,18.73 ,3423.1,1873.1,683.2,480.8,1875.92,Yellow earths,,23.4,18.1,142,7.2,210,135,210,9000
82,M-SWC,MSWC0082,2008,MSWC01,WS0521,22.04 ,26.89 ,18.69 ,3394.7,1854.7,645.9,480.1,1868.39,Yellow earths,,22,11.4,87,5.4,210,135,210,9501
83,M-SWC,MSWC0083,2008,MSWC01,WS0521,22.02 ,26.87 ,18.67 ,3478.7,1898.7,683.3,492.6,1913.53,Yellow earths,,29.6,24.1,159,6.4,225,150,240,10051
84,M-SWC,MSWC0084,2008,MSWC01,WS0521,22.24 ,27.13 ,18.86 ,3380.9,1860.9,682.5,480.1,1855.56,Yellow earths,,21.4,15.6,206,5.2,180,120,180,7100
85,M-SWC,MSWC0085,2008,MSWC01,WS0521,22.29 ,27.17 ,18.91 ,3365.9,1855.9,682.3,477.8,1845.43,Yellow earths,,21,14.5,62,6.8,180,120,180,7451
86,M-SWC,MSWC0086,2009,MSWC01,WS0521,22.36 ,26.82 ,19.17 ,3577.9,1980.9,529.9,565,2040.45,Yellow earths,,29.6,15.5,162,7.6,225,150,240,9901
87,M-SWC,MSWC0087,2009,MSWC01,WS0521,22.45 ,26.89 ,19.30 ,3411.8,1891.8,519.8,519.1,1917.39,Yellow earths,,24.5,41.5,345,5.9,180,120,180,6950
88,M-SWC,MSWC0088,2009,MSWC01,WS0521,22.26 ,26.67 ,19.12 ,3494.8,1927.8,529.9,535.2,1974.73,Yellow earths,,24.9,7.3,68,5.5,210,135,210,7800
89,M-SWC,MSWC0089,2008,MSWC01,WS0521,22.16 ,27.04 ,18.78 ,3456.6,1896.6,683.1,492.6,1900.72,Yellow earths,,15.6,22.2,97,6,210,135,210,9776
90,M-SWC,MSWC0090,2008,MSWC01,WS0521,22.29 ,27.19 ,18.90 ,3544,1954,682.5,513.9,1952.55,Yellow earths,,30.3,29.3,129,6.5,225,150,240,10475
91,M-SWC,MSWC0091,2008,MSWC01,WS0521,22.16 ,27.03 ,18.80 ,3413.1,1873.1,683.1,480.8,1869.5,Yellow earths,,25.8,26.3,152,5.3,210,135,210,7961
92,M-SWC,MSWC0092,2008,MSWC01,WS0521,22.24 ,27.13 ,18.86 ,3380.9,1860.9,682.5,480.1,1855.56,Yellow earths,,20,38.3,176,6.6,180,120,180,8201
93,M-SWC,MSWC0093,2009,MSWC01,WS0521,22.20 ,26.59 ,19.08 ,3440.3,1893.3,529.9,519.1,1936.56,Yellow earths,,61.9,34,96,7.2,180,120,180,7301
94,M-SWC,MSWC0094,2009,MSWC01,WS0521,22.74 ,27.25 ,19.51 ,3592.3,2012.3,517.3,576.8,2045.78,Yellow earths,,19.7,13.4,83,6.5,225,150,240,9926
95,M-SWC,MSWC0095,2009,MSWC01,WS0521,22.40 ,26.85 ,19.25 ,3450.1,1910.1,521.5,526.7,1942.21,Yellow earths,,16.3,19.8,104,6.8,210,135,210,9626
96,M-SWC,MSWC0096,2006,MSWC01,WS0598,20.94 ,26.05 ,17.39 ,3308.2,1728.2,718.5,711.2,2255.91,Limestone soils,,33.5,33.4,161,7.2,225,150,240,7560
