Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,,
LR-SC,LRSC0092,2007,福建省,Fujian,8658826,25.89292,32.030088,21.89469,2925.9,1795.9,318.7,581.5,1615.62,水稻土,Paddy soil,silty clay loam,36.6,25.1,46,5,165,60,105,9096,,
LR-SC,LRSC0093,2007,福建省,Fujian,8658923,23.1,28.722857,19.787619,2425.5,1375.5,515.6,390.9,1224.41,水稻土,Paddy soil,sandy loam,48.1,64.4,67,5,150,60,105,6528,,
LR-SC,LRSC0094,2007,福建省,Fujian,8658912,23.993333,29.334286,20.425714,2519.3,1469.3,422.1,441.6,1304.27,水稻土,Paddy soil,silty clay loam,33.7,12.5,166,4.6,172.5,63,162,6553.5,,
LR-SC,LRSC0095,2007,福建省,Fujian,8658912,23.993333,29.334286,20.425714,2519.3,1469.3,422.1,441.6,1304.27,水稻土,Paddy soil,silty clay loam,24.3,25.7,118,4.6,172.5,63,162,6535.5,,
LR-SC,LRSC0096,2007,福建省,Fujian,8658912,22.855446,28.170297,19.161386,2308.4,1298.4,387.6,443.9,1229.37,水稻土,Paddy soil,silty clay loam,23.9,36.6,156,5.2,172.5,63,162,6166.5,,
LR-SC,LRSC0097,2007,福建省,Fujian,8658912,24.869524,30.250476,21.222857,2611.3,1561.3,397.3,466.3,1372.54,水稻土,Paddy soil,silty clay loam,55.1,23.1,123,5.1,172.5,63,162,5869.5,,
LR-SC,LRSC0098,2007,福建省,Fujian,8658912,24.237,29.568,20.708,2423.7,1423.7,421.6,408.7,1232.84,水稻土,Paddy soil,silty clay loam,29.7,16.7,59,4.4,172.5,63,162,6879,,
LR-SC,LRSC0099,2007,福建省,Fujian,8658912,23.88785,29.247664,20.294393,2556,1486,422.1,456.2,1332.53,水稻土,Paddy soil,silty clay loam,41.2,7.8,66,4.9,172.5,63,162,8250,,
LR-SC,LRSC0100,2007,福建省,Fujian,8658912,24.439496,29.836975,20.778151,2908.3,1718.3,457.4,534.2,1546.95,水稻土,Paddy soil,silty clay loam,27,15.9,46,5.2,172.5,63,162,7167,,
LR-SC,LRSC0101,2007,福建省,Fujian,8658912,24.297436,29.666667,20.616239,2842.8,1672.8,422.3,535.4,1528.97,水稻土,Paddy soil,silty clay loam,47.1,12.5,135,5.1,172.5,63,162,7384.5,,
LR-SC,LRSC0102,2007,福建省,Fujian,8658912,24.393043,29.745217,20.753913,2805.2,1655.2,422.3,518.3,1497.59,水稻土,Paddy soil,silty clay loam,55,6.6,201,5,172.5,63,162,6933,,116.9702
LR-SC,LRSC0103,2007,福建省,Fujian,8658912,24.622807,29.985088,21.009649,2807,1667,457.4,499.8,1474.3,水稻土,Paddy soil,silty clay loam,52.8,25,150,5.3,172.5,63,162,7333.5,,
LR-SC,LRSC0104,2008,福建省,Fujian,8658911,26.319608,32.177451,22.256863,2684.6,1664.6,482.5,625.2,1646,水稻土,Paddy soil,sandy loam,26.8,43.2,89,4.4,180,82.5,108,7138.5,,
LR-SC,LRSC0105,2008,福建省,Fujian,8658911,26.246939,32.115306,22.117347,2572.2,1592.2,437.7,602.9,1575.93,水稻土,Paddy soil,sandy loam,26.4,37.8,102,4.5,180,82.5,108,7314,,
LR-SC,LRSC0106,2008,福建省,Fujian,8658911,26.263107,32.186408,22.116505,2705.1,1675.1,442.5,642.9,1669.15,水稻土,Paddy soil,sandy loam,28.9,38.3,142,4.4,180,82.5,108,8218.5,,
