Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
W-YZB,WYZB0053,2009,安徽省,Anhui,8658224,10.91932773,15.15546218,7.507983193,2613.7,914,551.7,1207.6,2792.97,水稻土,Paddy soils,clay loam,27.15,18.7,135,5.8,225,90,75,7380
W-YZB,WYZB0054,2008,安徽省,Anhui,8658224,12.15764192,16.67729258,8.490829694,2798,971.4,278.3,1229,2733.97,砂姜黑土,Lime concretion fluvo-aquic soils,silty clay loam,20.041,18.1,147,6.6,210,75,60,7680
W-YZB,WYZB0055,2009,安徽省,Anhui,8658224,11.12921811,15.3654321,7.710699588,2719.3,969.6,553.5,1234.2,2863.71,黄褐土,Yellow-cinnamon soils,silty clay loam,22.3,12.9,69,5.8,225,90,75,6960
W-YZB,WYZB0056,2007,安徽省,Anhui,8658224,12.18008658,16.71601732,8.495238095,2827.5,980.9,278.3,1245.8,2753.6,水稻土,Paddy soils,silty clay loam,20.29,12.6,79,6.6,225,75,97.5,7680
W-YZB,WYZB0057,2008,安徽省,Anhui,8658224,12.18008658,16.71601732,8.495238095,2827.5,980.9,278.3,1245.8,2753.6,黄褐土,Yellow-cinnamon soils,silty clay loam,20.041,18.1,147,6.6,210,75,60,7680
W-YZB,WYZB0058,2007,安徽省,Anhui,8658224,12.71061224,16.92571429,9.357959184,3144.6,1246.4,506.6,1264.6,2995.64,水稻土,Paddy soils,clay loam,15.4,15,156,6.9,225,75,97.5,6840
W-YZB,WYZB0059,2008,安徽省,Anhui,8658224,12.15764192,16.67729258,8.490829694,2798,971.4,278.3,1229,2733.97,水稻土,Paddy soils,clay loam,15.4,14,116,6.5,210,75,60,7845
W-YZB,WYZB0060,2009,安徽省,Anhui,8658224,10.71923077,14.95470085,7.315384615,2523.2,863.5,481.8,1187.9,2731.46,水稻土,Paddy soils,clay loam,19.8,16.3,135,6.8,225,90,75,7218
W-YZB,WYZB0061,2008,安徽省,Anhui,8658224,12.18189655,16.69482759,8.526293103,2840.1,983.5,279.9,1236,2740.12,砂姜黑土,Lime concretion fluvo-aquic soils,clay loam,20.03,13.4,156,6.6,210,75,60,7920
W-YZB,WYZB0062,2008,安徽省,Anhui,8658224,11.94488889,16.452,8.296,2701.5,914.9,278.3,1197.8,2663.41,水稻土,Paddy soils,clay loam,27.3,24.6,132,6.6,210,75,60,6690
W-YZB,WYZB0063,2009,安徽省,Anhui,8658224,11.09132231,15.32644628,7.67231405,2699,959.3,553.5,1229.7,2853.04,潮土,Fluvo-aquic soils,sandy loam,15.3,9.3,86,7.6,225,90,75,7050
W-YZB,WYZB0064,2009,安徽省,Anhui,8658224,10.72510638,14.95531915,7.33106383,2535.3,865.6,482.2,1184,2720.55,水稻土,Paddy soils,clay loam,20.56,33.6,288,6.1,225,90,75,7003.5
