Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
76,ER-SC,ERSC0076,2007,ERSC03,medium_maturity,25.53838384,30.82323232,21.91515152,2528.3,1538.3,861.6,457.198,1409.11,Paddy soils,,44.5 ,7.1 ,114.0 ,5.0 ,158 ,30 ,75 ,6852 ,9725 
77,ER-SC,ERSC0077,2008,ERSC03,medium_maturity,25.151,29.866,21.987,2515.1,1515.1,735.1,430.2,1422.57,Paddy soils,,52.8 ,10.6 ,120.8 ,5.5 ,158 ,30 ,75 ,6587 ,9056 
78,ER-SC,ERSC0078,2007,ERSC03,late_maturity,24.84341085,28.54341085,22.08837209,3204.8,1914.8,1219.8,789,2202.11,Paddy soils,,12.7,56.1,51,4.8,165.6,39.6,112.5,5475,7455
79,ER-SC,ERSC0079,2006,ERSC03,medium_maturity,25.34336283,29.1460177,22.59911504,2863.8,1733.8,1378.8,396.1,1446.11,Paddy soils,,33.0 ,10.9 ,149.0 ,6.1 ,138 ,36 ,90 ,2400 ,5880 
80,ER-SC,ERSC0080,2007,ERSC03,late_maturity,25.18627451,28.80196078,22.68235294,2569,1549,710.5,621.9,1748.09,Paddy soils,,30.57,46.07,54.67,5.15,220.5,27,112.5,7200,7875
81,ER-SC,ERSC0081,2009,ERSC03,late_maturity,25.77142857,30.07040816,22.77653061,2525.6,1545.6,709.7,593.7,1677.92,Paddy soils,,15.69999981,7.300000191,78,5.599999905,159,54,135,3465,6135
82,ER-SC,ERSC0082,2007,ERSC03,late_maturity,24.86086957,30.23695652,21.48369565,2287.2,1367.2,901.6,483.3,1451.15,Paddy soils,,29.6,13.4,23,4.9,156,36,112.5,6055.5,8664
83,ER-SC,ERSC0083,2008,ERSC03,late_maturity,24.91067961,29.54174757,21.94563107,2565.8,1535.8,961.1,433.6,1445.73,Paddy soils,,28,16,112,5.2,156.75,54,135,4375,8450
84,ER-SC,ERSC0084,2008,ERSC03,late_maturity,24.82828283,29.41111111,21.86666667,2458,1468,917.1,407.4,1373.9,Paddy soils,,27.88,53.38,62.91,5.46,155.25,45,94.5,5927,7842
85,ER-SC,ERSC0085,2008,ERSC03,late_maturity,25.92688172,29.44086022,23.45053763,2411.2,1481.2,588.2,523.2,1519.7,Paddy soils,,32.8,35.7,201,4.9,165.6,65.55,132,4549.5,7399.5
86,ER-SC,ERSC0086,2007,ERSC03,late_maturity,27.22365591,31.38924731,24.2655914,2531.8,1601.8,864.7,570.8,1604.02,Paddy soils,,42.2,23.6,85,5.4,165,60,135,4450.5,5626.5
87,ER-SC,ERSC0087,2007,ERSC03,late_maturity,27.71914894,31.97021277,24.70212766,2605.6,1665.6,886.3,619.1,1692.37,Paddy soils,,21.8,49.3,36,4.9,165,60,135,4803,5887.5
88,ER-SC,ERSC0088,2006,ERSC03,medium_maturity,26.56435644,31.15544554,23.65049505,2683,1673,935.3,461.6,1479.13,Paddy soils,,32.6 ,61.7 ,33.0 ,5.5 ,150 ,45 ,105 ,5550 ,8001 
89,ER-SC,ERSC0089,2007,ERSC03,late_maturity,26.59056604,31.49150943,23.34716981,2818.6,1758.6,701.9,652.5,1828.61,Paddy soils,,24,32.5,97,5.8,150,37.5,90,5122.5,6870
90,ER-SC,ERSC0090,2008,ERSC03,medium_maturity,25.95384615,30.21057692,23.42788462,2699.2,1659.2,1439.8,359.3,1329.91,Paddy soils,,25.5 ,40.7 ,108.3 ,5.2 ,158 ,75 ,90 ,5501 ,7397 
91,ER-SC,ERSC0091,2008,ERSC03,medium_maturity,26.29142857,30.69904762,23.74666667,2760.6,1710.6,1530.1,409.9,1424.76,Paddy soils,,26.9 ,31.0 ,180.4 ,5.1 ,150 ,38 ,75 ,4150 ,6132 
92,ER-SC,ERSC0092,2008,ERSC03,medium_maturity,26.03529412,30.32156863,23.49607843,2655.6,1635.6,1416.6,358.5,1314.85,Paddy soils,,33.3 ,36.8 ,70.2 ,5.3 ,150 ,45 ,105 ,5553 ,7074 
93,ER-SC,ERSC0093,2008,ERSC03,medium_maturity,25.48020833,28.959375,23.225,2446.1,1486.1,1383.1,287.3,1155.25,Paddy soils,,13.3 ,18.9 ,67.0 ,5.0 ,158 ,42 ,113 ,4804 ,6855 
94,ER-SC,ERSC0094,2008,ERSC03,late_maturity,25.305,29.53125,22.79875,2024.4,1224.4,1037,246.6,975.65,Paddy soils,,45.6,58.2,149,4.5,157.5,45,135,4524,7306.5
95,ER-SC,ERSC0095,2008,ERSC03,medium_maturity,25.27974684,29.51392405,22.78860759,1997.1,1207.1,1037,244.2,964.98,Paddy soils,,39.5 ,10.9 ,183.0 ,3.9 ,158 ,45 ,135 ,4574 ,7308 
96,ER-SC,ERSC0096,2008,ERSC03,late_maturity,25.35679012,29.62345679,22.80617284,2053.9,1243.9,988,251.7,990.2,Paddy soils,,40,3.8,166,3.8,157.5,45,135,4521.75,7219.5
97,ER-SC,ERSC0097,2008,ERSC03,late_maturity,25.35679012,29.62345679,22.80617284,2053.9,1243.9,988,251.7,990.2,Paddy soils,,43.3,13,139,3.9,157.5,45,135,4531.5,7274.25
98,ER-SC,ERSC0098,2008,ERSC03,late_maturity,25.34939759,29.56626506,22.82650602,2104,1274,1074.3,251.9,1004.95,Paddy soils,,29.6,18.5,108,4,157.5,45,135,4142.25,7293
