Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
769,SR-YZB,SRYZB0769,2007,SRYZB05,early_maturity,27.1 ,31.5 ,24.4 ,2905.0 ,1835.0 ,472.2 ,686.1 ,1856.8 ,Paddy soils,silty clay loam,65.3 ,28.0 ,176.0 ,7.9 ,165 ,90 ,135 ,6477 ,8802 
770,SR-YZB,SRYZB0770,2007,SRYZB05,early_maturity,25.5 ,29.8 ,23.0 ,2347.8 ,1427.8 ,442.5 ,490.9 ,1383.7 ,Paddy soils,clay loam,58.5 ,13.3 ,90.0 ,8.2 ,165 ,75 ,135 ,6396 ,8493 
771,SR-YZB,SRYZB0771,2006,SRYZB05,early_maturity,26.7 ,30.7 ,23.3 ,2807.8 ,1757.8 ,845.3 ,683.2 ,1827.6 ,Paddy soils,clay loam,32.6 ,18.3 ,166.0 ,6.9 ,165 ,60 ,135 ,5634 ,8157 
772,SR-YZB,SRYZB0772,2009,SRYZB05,early_maturity,27.5 ,32.3 ,24.5 ,3082.8 ,1962.8 ,425.2 ,674.8 ,1859.6 ,Paddy soils,clay loam,57.5 ,35.0 ,127.0 ,7.9 ,128 ,60 ,120 ,6387 ,9902 
773,SR-YZB,SRYZB0773,2010,SRYZB05,early_maturity,27.6 ,32.6 ,24.0 ,2762.6 ,1762.6 ,471.6 ,637.4 ,1760.5 ,Paddy soils,loam,76.6 ,5.1 ,242.0 ,6.1 ,165 ,75 ,75 ,6251 ,8751 
774,SR-YZB,SRYZB0774,2010,SRYZB05,medium_maturity,27.8 ,32.5 ,24.3 ,2887.8 ,1847.8 ,516.3 ,645.7 ,1790.6 ,Paddy soils,clay,44.6 ,6.9 ,112.0 ,6.0 ,165 ,75 ,75 ,5463 ,7815 
775,SR-YZB,SRYZB0775,2006,SRYZB05,early_maturity,26.5 ,30.6 ,23.4 ,2753.7 ,1713.7 ,603.7 ,511.4 ,1588.7 ,Paddy soils,clay,46.2 ,7.2 ,88.0 ,7.9 ,135 ,68 ,72 ,4290 ,8040 
776,SR-YZB,SRYZB0776,2006,SRYZB05,medium_maturity,26.5 ,30.7 ,23.4 ,2733.7 ,1703.7 ,586.3 ,511.4 ,1581.8 ,Paddy soils,clay,33.5 ,6.1 ,122.0 ,8.2 ,135 ,68 ,72 ,3660 ,7335 
777,SR-YZB,SRYZB0777,2007,SRYZB05,medium_maturity,27.9 ,32.4 ,24.8 ,3186.1 ,2046.1 ,489.4 ,706.9 ,1962.6 ,Paddy soils,sandy loam,38.0 ,19.1 ,68.0 ,5.4 ,165 ,75 ,75 ,6381 ,8354 
778,SR-YZB,SRYZB0778,2007,SRYZB05,medium_maturity,27.9 ,32.4 ,24.8 ,3186.1 ,2046.1 ,489.4 ,706.9 ,1962.6 ,Paddy soils,sandy loam,38.0 ,19.1 ,68.0 ,5.4 ,165 ,75 ,75 ,6254 ,7760 
779,SR-YZB,SRYZB0779,2008,SRYZB05,early_maturity,27.4 ,31.8 ,24.3 ,3124.7 ,1984.7 ,516.8 ,691.0 ,1933.1 ,Paddy soils,sandy loam,42.0 ,7.1 ,193.0 ,6.1 ,165 ,75 ,75 ,6170 ,7538 
780,SR-YZB,SRYZB0780,2008,SRYZB05,early_maturity,27.4 ,31.8 ,24.3 ,3124.7 ,1984.7 ,516.8 ,691.0 ,1933.1 ,Paddy soils,sandy loam,25.1 ,7.4 ,51.0 ,5.6 ,165 ,75 ,75 ,7104 ,9138 
781,SR-YZB,SRYZB0781,2008,SRYZB05,early_maturity,27.4 ,31.8 ,24.3 ,3124.7 ,1984.7 ,516.8 ,691.0 ,1933.1 ,Paddy soils,clay loam,26.5 ,7.9 ,88.0 ,6.0 ,165 ,75 ,75 ,7404 ,9405 
782,SR-YZB,SRYZB0782,2008,SRYZB05,medium_maturity,27.4 ,31.8 ,24.3 ,3124.7 ,1984.7 ,516.8 ,691.0 ,1933.1 ,Paddy soils,sandy loam,41.9 ,17.2 ,64.0 ,6.7 ,195 ,90 ,225 ,7070 ,9171 
783,SR-YZB,SRYZB0783,2008,SRYZB05,early_maturity,26.3 ,31.3 ,22.6 ,2819.1 ,1749.1 ,525.0 ,572.7 ,1708.5 ,Paddy soils,sandy loam,35.6 ,13.7 ,76.0 ,5.3 ,135 ,72 ,68 ,4902 ,8337 
784,SR-YZB,SRYZB0784,2008,SRYZB05,early_maturity,26.4 ,31.4 ,22.6 ,2798.1 ,1738.1 ,496.6 ,572.7 ,1701.4 ,Paddy soils,loam,43.9 ,22.8 ,76.0 ,4.4 ,135 ,72 ,68 ,6669 ,9003 
785,SR-YZB,SRYZB0785,2008,SRYZB05,early_maturity,26.3 ,31.2 ,22.4 ,2809.3 ,1739.3 ,501.5 ,571.6 ,1707.6 ,Paddy soils,sandy loam,30.7 ,30.1 ,42.0 ,4.6 ,135 ,72 ,68 ,4668 ,6503 
786,SR-YZB,SRYZB0786,2008,SRYZB05,early_maturity,26.7 ,31.7 ,23.1 ,2747.4 ,1717.4 ,382.0 ,626.1 ,1647.4 ,Paddy soils,clay loam,25.3 ,7.8 ,63.0 ,6.1 ,165 ,75 ,75 ,4770 ,8955 
787,SR-YZB,SRYZB0787,2008,SRYZB05,early_maturity,27.1 ,31.9 ,23.9 ,3253.9 ,2053.9 ,746.9 ,689.6 ,1924.1 ,Paddy soils,sandy loam,43.7 ,4.8 ,76.0 ,6.3 ,165 ,75 ,75 ,3959 ,6230 
788,SR-YZB,SRYZB0788,2008,SRYZB05,early_maturity,27.1 ,31.9 ,23.9 ,3253.9 ,2053.9 ,746.9 ,689.6 ,1924.1 ,Paddy soils,clay loam,13.1 ,8.1 ,69.0 ,7.4 ,165 ,75 ,75 ,4541 ,6617 
789,SR-YZB,SRYZB0789,2008,SRYZB05,early_maturity,26.7 ,31.7 ,23.2 ,2725.6 ,1705.6 ,382.5 ,622.6 ,1644.5 ,Paddy soils,clay loam,66.5 ,9.4 ,57.0 ,7.7 ,165 ,75 ,75 ,4604 ,7139 
790,SR-YZB,SRYZB0790,2009,SRYZB05,early_maturity,28.0 ,33.2 ,24.3 ,2880.7 ,1850.7 ,388.4 ,686.2 ,1788.0 ,Paddy soils,clay loam,24.3 ,8.4 ,51.0 ,6.2 ,180 ,90 ,135 ,4680 ,7200 
