Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1342,M-NCP,MNCP1342,2008,MNCP03,medium_maturity,25.7 ,30.9 ,21.5 ,2412.7 ,1472.7 ,294.1 ,560.3 ,1517.7 ,Cinnamon soils,loam,13.4 ,28.0 ,61.0 ,7.6 ,210 ,75 ,0 ,4892 ,6915 
1343,M-NCP,MNCP1343,2008,MNCP03,medium_maturity,25.7 ,30.9 ,21.5 ,2412.7 ,1472.7 ,294.1 ,560.3 ,1517.7 ,Cinnamon soils,loam,17.7 ,40.1 ,84.0 ,7.6 ,195 ,60 ,0 ,5162 ,6978 
1344,M-NCP,MNCP1344,2007,MNCP03,medium_maturity,24.5 ,29.8 ,20.0 ,2991.7 ,1771.7 ,515.3 ,736.1 ,1967.1 ,Cinnamon soils,loamy sand,16.6 ,31.5 ,125.0 ,8.3 ,195 ,120 ,90 ,4875 ,6996 
1345,M-NCP,MNCP1345,2008,MNCP03,medium_maturity,24.0 ,29.0 ,19.9 ,2970.0 ,1730.0 ,477.6 ,673.3 ,1879.5 ,Cinnamon soils,loamy sand,16.6 ,29.0 ,172.0 ,8.2 ,195 ,120 ,90 ,5736 ,7194 
1346,M-NCP,MNCP1346,2009,MNCP03,medium_maturity,24.7 ,30.1 ,19.9 ,3061.4 ,1821.4 ,330.3 ,920.9 ,2266.9 ,Cinnamon soils,silt loam,17.6 ,24.5 ,123.0 ,7.5 ,195 ,120 ,90 ,6180 ,7743 
1347,M-NCP,MNCP1347,2009,MNCP03,medium_maturity,24.7 ,30.0 ,20.2 ,2744.1 ,1634.1 ,328.9 ,785.8 ,1946.9 ,Cinnamon soils,loam,28.8 ,67.5 ,137.0 ,7.3 ,150 ,0 ,0 ,6525 ,8145 
1348,M-NCP,MNCP1348,2007,MNCP03,medium_maturity,24.5 ,29.8 ,20.0 ,3037.3 ,1797.3 ,516.3 ,743.5 ,1987.5 ,Cinnamon soils,loamy sand,14.6 ,11.1 ,93.0 ,8.3 ,195 ,120 ,90 ,6050 ,6878 
1349,M-NCP,MNCP1349,2007,MNCP03,medium_maturity,24.5 ,29.8 ,20.0 ,2991.7 ,1771.7 ,515.3 ,736.1 ,1967.1 ,Cinnamon soils,loamy sand,12.2 ,17.0 ,185.0 ,8.3 ,195 ,120 ,90 ,6038 ,7851 
1350,M-NCP,MNCP1350,2007,MNCP03,medium_maturity,24.5 ,29.8 ,20.0 ,2991.7 ,1771.7 ,515.3 ,736.1 ,1967.1 ,Cinnamon soils,loamy sand,12.5 ,5.0 ,94.0 ,7.9 ,195 ,120 ,90 ,5570 ,6425 
1351,M-NCP,MNCP1351,2007,MNCP03,medium_maturity,24.5 ,29.8 ,20.0 ,2991.7 ,1771.7 ,515.3 ,736.1 ,1967.1 ,Cinnamon soils,loam,13.8 ,31.8 ,163.0 ,7.2 ,195 ,120 ,90 ,6632 ,7620 
1352,M-NCP,MNCP1352,2007,MNCP03,medium_maturity,24.5 ,29.8 ,20.0 ,2991.7 ,1771.7 ,515.3 ,736.1 ,1967.1 ,Cinnamon soils,loam,12.1 ,11.5 ,111.0 ,8.1 ,195 ,120 ,90 ,5738 ,6894 
1353,M-NCP,MNCP1353,2009,MNCP03,medium_maturity,24.7 ,30.1 ,19.9 ,3016.0 ,1796.0 ,330.3 ,913.3 ,2246.2 ,Cinnamon soils,loamy sand,17.3 ,16.3 ,160.0 ,7.6 ,195 ,120 ,90 ,6795 ,7619 
1354,M-NCP,MNCP1354,2009,MNCP03,medium_maturity,24.7 ,30.1 ,19.9 ,3016.0 ,1796.0 ,330.3 ,913.3 ,2246.2 ,Cinnamon soils,loamy sand,18.8 ,23.3 ,178.0 ,7.8 ,195 ,120 ,90 ,7200 ,8219 
1355,M-NCP,MNCP1355,2009,MNCP03,medium_maturity,24.7 ,30.1 ,19.9 ,3016.0 ,1796.0 ,330.3 ,913.3 ,2246.2 ,Cinnamon soils,loamy sand,17.3 ,14.8 ,176.0 ,7.6 ,195 ,120 ,90 ,6336 ,7920 
1356,M-NCP,MNCP1356,2008,MNCP03,medium_maturity,24.0 ,29.0 ,19.9 ,2970.0 ,1730.0 ,477.6 ,673.3 ,1879.5 ,Cinnamon soils,loamy sand,17.0 ,30.5 ,152.0 ,8.3 ,195 ,120 ,90 ,6348 ,7176 
1357,M-NCP,MNCP1357,2009,MNCP03,medium_maturity,24.8 ,30.0 ,20.3 ,2702.6 ,1612.6 ,328.9 ,778.3 ,1926.8 ,Cinnamon soils,loamy sand,11.6 ,29.3 ,117.0 ,7.5 ,195 ,0 ,0 ,6145 ,7964 
1358,M-NCP,MNCP1358,2009,MNCP03,medium_maturity,24.8 ,30.0 ,20.5 ,2556.8 ,1526.8 ,328.9 ,717.2 ,1788.4 ,Cinnamon soils,loam,10.2 ,44.9 ,116.0 ,6.9 ,195 ,60 ,90 ,5611 ,8078 
1359,M-NCP,MNCP1359,2009,MNCP03,medium_maturity,24.7 ,29.9 ,20.4 ,2596.6 ,1546.6 ,328.9 ,717.9 ,1794.5 ,Cinnamon soils,loamy sand,12.8 ,31.8 ,99.0 ,6.3 ,195 ,60 ,90 ,5565 ,8170 
1360,M-NCP,MNCP1360,2009,MNCP03,medium_maturity,24.8 ,29.9 ,20.5 ,2530.2 ,1510.2 ,328.9 ,704.2 ,1757.1 ,Cinnamon soils,sandy clay loam,20.8 ,30.3 ,178.0 ,7.3 ,195 ,60 ,90 ,5558 ,8129 
1361,M-NCP,MNCP1361,2009,MNCP03,medium_maturity,24.4 ,29.6 ,19.9 ,2703.6 ,1593.6 ,326.0 ,766.7 ,1877.7 ,Cinnamon soils,loamy sand,12.7 ,17.9 ,148.0 ,7.3 ,195 ,60 ,90 ,5734 ,8261 
