Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
24,W-NCP,WNCP0024,2007,WNCP01,8.4 ,14.1 ,3.9 ,2294.3 ,768.3 ,174.0 ,1416.1 ,2939.5 ,small_spike,Cinnamon soils,sandy loam,17.0 ,31.0 ,99.0 ,7.9 ,180 ,150 ,120 ,4890 ,6900 
25,W-NCP,WNCP0025,2007,WNCP01,8.6 ,14.3 ,4.1 ,2379.4 ,813.4 ,168.8 ,1424.2 ,2985.3 ,small_spike,Cinnamon soils,sandy loam,17.0 ,31.0 ,99.0 ,7.9 ,180 ,150 ,120 ,4710 ,5340 
26,W-NCP,WNCP0026,2008,WNCP01,9.1 ,15.4 ,4.0 ,2369.3 ,839.7 ,111.4 ,1564.7 ,3057.0 ,small_spike,Cinnamon soils,loam,21.0 ,25.3 ,118.0 ,8.3 ,180 ,150 ,135 ,4559 ,4881 
27,W-NCP,WNCP0027,2008,WNCP01,9.2 ,15.6 ,4.1 ,2425.2 ,875.6 ,111.4 ,1591.0 ,3113.4 ,small_spike,Cinnamon soils,sandy loam,21.0 ,25.1 ,110.0 ,8.1 ,180 ,150 ,135 ,4515 ,5615 
28,W-NCP,WNCP0028,2007,WNCP01,8.8 ,14.4 ,4.3 ,2447.0 ,851.0 ,177.3 ,1428.5 ,3011.7 ,small_spike,Cinnamon soils,sandy loam,18.0 ,34.0 ,111.0 ,7.8 ,180 ,150 ,120 ,4980 ,7515 
29,W-NCP,WNCP0029,2007,WNCP01,8.8 ,14.4 ,4.2 ,2430.6 ,844.6 ,168.8 ,1428.5 ,3007.1 ,small_spike,Cinnamon soils,sandy loam,15.0 ,27.0 ,109.0 ,7.8 ,225 ,150 ,150 ,6075 ,7845 
30,W-NCP,WNCP0030,2008,WNCP01,9.6 ,15.9 ,4.5 ,2582.9 ,973.3 ,120.9 ,1620.9 ,3211.1 ,small_spike,Cinnamon soils,sandy loam,22.0 ,32.6 ,132.0 ,8.2 ,180 ,150 ,120 ,4053 ,4713 
31,W-NCP,WNCP0031,2008,WNCP01,8.9 ,15.2 ,3.8 ,2280.7 ,791.1 ,95.4 ,1540.1 ,2988.5 ,small_spike,Cinnamon soils,loam,15.0 ,39.2 ,116.0 ,8.3 ,225 ,150 ,150 ,5579 ,6396 
32,W-NCP,WNCP0032,2007,WNCP01,8.7 ,14.3 ,4.1 ,2395.8 ,819.8 ,177.3 ,1424.2 ,2989.9 ,small_spike,Cinnamon soils,loam,18.0 ,35.0 ,147.0 ,7.8 ,225 ,150 ,150 ,5850 ,8835 
33,W-NCP,WNCP0033,2007,WNCP01,8.4 ,13.9 ,3.8 ,2276.3 ,804.3 ,170.3 ,1336.3 ,2848.9 ,small_spike,Fluvo-aquic soils,loam,21.0 ,22.0 ,69.0 ,8.0 ,210 ,90 ,90 ,5016 ,6545 
34,W-NCP,WNCP0034,2007,WNCP01,7.9 ,13.4 ,3.3 ,2053.2 ,701.2 ,147.7 ,1288.2 ,2717.5 ,small_spike,Cinnamon soils,sandy loam,11.4 ,22.0 ,91.0 ,7.9 ,225 ,113 ,105 ,4554 ,6348 
35,W-NCP,WNCP0035,2007,WNCP01,8.0 ,13.5 ,3.4 ,2122.5 ,720.5 ,147.7 ,1330.8 ,2787.6 ,small_spike,Cinnamon soils,sandy clay loam,15.5 ,8.8 ,70.0 ,7.9 ,225 ,120 ,150 ,5268 ,6977 
36,W-NCP,WNCP0036,2008,WNCP01,9.4 ,15.3 ,4.3 ,2444.4 ,936.3 ,119.3 ,1529.1 ,3080.7 ,small_spike,Fluvo-aquic soils,loam,21.0 ,22.0 ,69.0 ,8.0 ,210 ,90 ,90 ,5024 ,6884 
37,W-NCP,WNCP0037,2008,WNCP01,8.7 ,14.7 ,3.6 ,2181.5 ,793.4 ,104.1 ,1454.2 ,2907.1 ,small_spike,Cinnamon soils,sandy loam,11.4 ,22.0 ,91.0 ,7.9 ,225 ,113 ,105 ,5381 ,6773 
38,W-NCP,WNCP0038,2007,WNCP01,8.1 ,13.6 ,3.5 ,2158.9 ,736.9 ,150.5 ,1341.1 ,2811.5 ,small_spike,Cinnamon soils,sandy clay loam,14.6 ,14.0 ,71.0 ,7.9 ,210 ,135 ,120 ,5279 ,6318 
39,W-NCP,WNCP0039,2008,WNCP01,9.0 ,15.0 ,3.9 ,2319.0 ,860.9 ,104.1 ,1512.5 ,3010.3 ,small_spike,Cinnamon soils,sandy clay loam,14.6 ,14.0 ,71.0 ,7.9 ,210 ,135 ,120 ,3858 ,6102 
