Sort,Soil quality,Crop,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
148,low,early rice,2007,25.3,30.3,21.7,2126.8,1286.8,361.6,349.6,1180.3,early_maturity,Paddy soils,,27.9,5.6,43,4.5,120,45,90,4944
149,high,early rice,2007,25.3,30.3,21.7,2126.8,1286.8,361.6,349.6,1180.3,early_maturity,Paddy soils,,35.9,29.9,94,5.5,120,45,90,5670
150,low,early rice,2009,24.2,27.6,21.7,2157.5,1267.5,447.5,543.5,1526.8,early_maturity,Paddy soils,,11.4,11.7,134,8,135,75,75,6528
151,low,early rice,2009,25.7,29,23.1,2157.2,1317.2,310.9,570.7,1540.9,early_maturity,Paddy soils,,21.2,11.3,196,8.2,135,75,75,6525
152,low,early rice,2009,24.3,29.1,20.6,1993.4,1173.4,427.4,442.4,1313.4,medium_maturity,Paddy soils,,31.5,15.1,160,6.1,135,72,68,4995
153,low,early rice,2010,23.6,28,20.3,1980.9,1140.9,817.3,347.7,1175.1,early_maturity,Paddy soils,,28.6,12.1,153,5.9,135,53,60,5406
154,low,early rice,2009,24.3,29.1,20.6,1993.4,1173.4,427.4,442.4,1313.4,medium_maturity,Paddy soils,,30.7,14.2,118,7.1,135,72,68,6102
155,low,early rice,2008,24.7,29.6,20.9,1975.7,1175.7,461.5,430.5,1281.4,medium_maturity,Paddy soils,,30.7,12.3,106,6.5,135,72,68,6740
156,low,early rice,2009,24.4,29.1,20.8,1877.7,1107.7,385.1,400.9,1211.9,early_maturity,Paddy soils,,28.6,12.8,105,7,135,72,68,6585
157,high,early rice,2008,24.7,29.6,20.9,1975.7,1175.7,461.5,430.5,1281.4,early_maturity,Paddy soils,,38.4,17.4,126,6.2,135,72,68,6690
158,high,early rice,2009,25,29.8,21.4,1849.8,1109.8,314.1,447.6,1268,early_maturity,Paddy soils,,36.7,18.2,73,5.2,135,72,68,6273
159,high,early rice,2010,24,28.2,20.6,2060.4,1200.4,698.9,393.9,1265.1,medium_maturity,Paddy soils,,35.4,21.4,126,5.1,135,72,68,6855
160,high,early rice,2007,25.5,30.5,21.8,1966.2,1196.2,242,475.4,1334,early_maturity,Paddy soils,,41.7,16.5,97,6.1,135,72,68,6789
161,low,early rice,2007,25.8,30.7,22.1,1831.6,1121.6,231.3,437.9,1230.8,medium_maturity,Paddy soils,,32.3,10.7,95,5.2,135,72,68,6276
162,low,early rice,2007,26.1,30.9,22.5,2064,1274,349.1,471.6,1344.2,medium_maturity,Paddy soils,,33.7,12.8,127,5.2,135,72,68,6363
163,low,early rice,2010,24.8,27.8,22.6,1937.1,1157.1,658,390.4,1205.9,early_maturity,Paddy soils,,29.4,15.4,68,5.3,141,36,90,6752
164,high,early rice,2009,26.1,31.7,22,2063.7,1273.7,422.7,494.2,1382.9,early_maturity,Paddy soils,,41.6,24.2,97,5,165,90,90,4872
165,low,early rice,2009,26.1,31.8,21.9,1933.1,1193.1,321.5,482.4,1327.8,early_maturity,Paddy soils,,31.8,10.6,85,4.8,180,75,90,5885
166,low,early rice,2009,26.1,31.6,22,2111.6,1301.6,449.3,494.2,1397.2,medium_maturity,Paddy soils,,29.8,10.1,82,4.9,165,75,75,6890
167,high,early rice,2009,26.1,31.6,22,2111.6,1301.6,449.3,494.2,1397.2,medium_maturity,Paddy soils,,42.2,30,140,5.3,150,36,75,7154
